"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",6253983,21515
"2023-05-28 00:00:00",6232468,23669
"2023-05-27 00:00:00",6208799,0
"2023-05-26 00:00:00",6208799,24543
"2023-05-25 00:00:00",6184256,50314
"2023-05-24 00:00:00",6133942,12169
"2023-05-23 00:00:00",6121774,12169
"2023-05-22 00:00:00",6109605,22178
"2023-05-21 00:00:00",6087427,49877
"2023-05-20 00:00:00",6037550,26234
"2023-05-19 00:00:00",6011316,26638
"2023-05-18 00:00:00",5984678,27002
"2023-05-17 00:00:00",5957676,13768
"2023-05-16 00:00:00",5943909,13768
"2023-05-15 00:00:00",5930141,51308
"2023-05-14 00:00:00",5878833,29049
"2023-05-13 00:00:00",5849784,29181
"2023-05-12 00:00:00",5820603,28787
"2023-05-11 00:00:00",5791816,28549
"2023-05-10 00:00:00",5763267,0
"2023-05-09 00:00:00",5763267,55083
"2023-05-08 00:00:00",5708184,0
"2023-05-07 00:00:00",5708184,28196
"2023-05-06 00:00:00",5679988,46873
"2023-05-05 00:00:00",5633115,46873
"2023-05-04 00:00:00",5586242,32045
"2023-05-03 00:00:00",5554197,0
"2023-05-02 00:00:00",5554197,61027
"2023-05-01 00:00:00",5493170,30407
"2023-04-30 00:00:00",5462763,32945
"2023-04-29 00:00:00",5429818,0
"2023-04-28 00:00:00",5429818,68110
"2023-04-27 00:00:00",5361708,34174
"2023-04-26 00:00:00",5327534,33996
"2023-04-25 00:00:00",5293538,30567
"2023-04-24 00:00:00",5262971,32642
"2023-04-23 00:00:00",5230329,17879
"2023-04-22 00:00:00",5212451,17879
"2023-04-21 00:00:00",5194572,35812
"2023-04-20 00:00:00",5158760,71199
"2023-04-19 00:00:00",5087561,35565
"2023-04-18 00:00:00",5051996,32339
"2023-04-17 00:00:00",5019657,36108
"2023-04-16 00:00:00",4983549,39146
"2023-04-15 00:00:00",4944403,39146
"2023-04-14 00:00:00",4905256,39146
"2023-04-13 00:00:00",4866110,40682
"2023-04-12 00:00:00",4825428,39415
"2023-04-11 00:00:00",4786013,35408
"2023-04-10 00:00:00",4750605,39017
"2023-04-09 00:00:00",4711588,42342
"2023-04-08 00:00:00",4669246,45097
"2023-04-07 00:00:00",4624149,0
"2023-04-06 00:00:00",4624149,88653
"2023-04-05 00:00:00",4535496,45073
"2023-04-04 00:00:00",4490423,40791
"2023-04-03 00:00:00",4449632,43752
"2023-04-02 00:00:00",4405880,48603
"2023-04-01 00:00:00",4357277,49552
"2023-03-31 00:00:00",4307725,50692
"2023-03-30 00:00:00",4257033,51175
"2023-03-29 00:00:00",4205858,51058
"2023-03-28 00:00:00",4154800,45885
"2023-03-27 00:00:00",4108915,50318
"2023-03-26 00:00:00",4058597,55712
"2023-03-25 00:00:00",4002885,58170
"2023-03-24 00:00:00",3944715,60110
"2023-03-23 00:00:00",3884605,0
"2023-03-22 00:00:00",3884605,124684
"2023-03-21 00:00:00",3759921,55750
"2023-03-20 00:00:00",3704171,0
"2023-03-19 00:00:00",3704171,61011
"2023-03-18 00:00:00",3643160,139681
"2023-03-17 00:00:00",3503479,73576
"2023-03-16 00:00:00",3429903,74955
"2023-03-15 00:00:00",3354948,77523
"2023-03-14 00:00:00",3277425,73556
"2023-03-13 00:00:00",3203869,82269
"2023-03-12 00:00:00",3121600,92861
"2023-03-11 00:00:00",3028739,96667
"2023-03-10 00:00:00",2932072,101134
"2023-03-09 00:00:00",2830938,106175
"2023-03-08 00:00:00",2724763,112448
"2023-03-07 00:00:00",2612315,0
"2023-03-06 00:00:00",2612315,226373
"2023-03-05 00:00:00",2385942,150993
"2023-03-04 00:00:00",2234949,170201
"2023-03-03 00:00:00",2064748,194856
"2023-03-02 00:00:00",1869892,224615
"2023-03-01 00:00:00",1645277,0
"2023-02-28 00:00:00",1645277,547562
"2023-02-27 00:00:00",1097715,390794
"2023-02-26 00:00:00",706921,689234
"2023-02-25 00:00:00",17687,0
