"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",15102471,79207
"2023-05-28 00:00:00",15023264,85195
"2023-05-27 00:00:00",14938069,0
"2023-05-26 00:00:00",14938069,84522
"2023-05-25 00:00:00",14853547,169790
"2023-05-24 00:00:00",14683757,41101
"2023-05-23 00:00:00",14642656,41101
"2023-05-22 00:00:00",14601555,72311
"2023-05-21 00:00:00",14529244,169111
"2023-05-20 00:00:00",14360133,90079
"2023-05-19 00:00:00",14270054,91646
"2023-05-18 00:00:00",14178408,91336
"2023-05-17 00:00:00",14087072,45316
"2023-05-16 00:00:00",14041756,45316
"2023-05-15 00:00:00",13996440,168059
"2023-05-14 00:00:00",13828381,100377
"2023-05-13 00:00:00",13728004,101694
"2023-05-12 00:00:00",13626310,99542
"2023-05-11 00:00:00",13526768,98636
"2023-05-10 00:00:00",13428132,0
"2023-05-09 00:00:00",13428132,183726
"2023-05-08 00:00:00",13244406,0
"2023-05-07 00:00:00",13244406,92588
"2023-05-06 00:00:00",13151818,158729
"2023-05-05 00:00:00",12993090,158729
"2023-05-04 00:00:00",12834361,104412
"2023-05-03 00:00:00",12729949,0
"2023-05-02 00:00:00",12729949,191591
"2023-05-01 00:00:00",12538358,97898
"2023-04-30 00:00:00",12440460,109626
"2023-04-29 00:00:00",12330834,0
"2023-04-28 00:00:00",12330834,219210
"2023-04-27 00:00:00",12111624,110483
"2023-04-26 00:00:00",12001141,110719
"2023-04-25 00:00:00",11890422,95193
"2023-04-24 00:00:00",11795229,104193
"2023-04-23 00:00:00",11691036,117248
"2023-04-22 00:00:00",11573788,117248
"2023-04-21 00:00:00",11456540,0
"2023-04-20 00:00:00",11456540,237555
"2023-04-19 00:00:00",11218985,120965
"2023-04-18 00:00:00",11098020,103893
"2023-04-17 00:00:00",10994127,114783
"2023-04-16 00:00:00",10879344,129409
"2023-04-15 00:00:00",10749935,129409
"2023-04-14 00:00:00",10620527,129409
"2023-04-13 00:00:00",10491118,133846
"2023-04-12 00:00:00",10357272,127894
"2023-04-11 00:00:00",10229378,112754
"2023-04-10 00:00:00",10116624,126412
"2023-04-09 00:00:00",9990212,138971
"2023-04-08 00:00:00",9851241,148470
"2023-04-07 00:00:00",9702771,0
"2023-04-06 00:00:00",9702771,290035
"2023-04-05 00:00:00",9412736,139016
"2023-04-04 00:00:00",9273720,121676
"2023-04-03 00:00:00",9152044,133231
"2023-04-02 00:00:00",9018813,151074
"2023-04-01 00:00:00",8867739,151861
"2023-03-31 00:00:00",8715878,141709
"2023-03-30 00:00:00",8574169,132507
"2023-03-29 00:00:00",8441662,130554
"2023-03-28 00:00:00",8311108,113030
"2023-03-27 00:00:00",8198078,123796
"2023-03-26 00:00:00",8074282,140777
"2023-03-25 00:00:00",7933505,158593
"2023-03-24 00:00:00",7774912,157456
"2023-03-23 00:00:00",7617456,0
"2023-03-22 00:00:00",7617456,323568
"2023-03-21 00:00:00",7293888,141123
"2023-03-20 00:00:00",7152765,0
"2023-03-19 00:00:00",7152765,151210
"2023-03-18 00:00:00",7001555,348524
"2023-03-17 00:00:00",6653031,177546
"2023-03-16 00:00:00",6475485,178872
"2023-03-15 00:00:00",6296613,183355
"2023-03-14 00:00:00",6113258,165468
"2023-03-13 00:00:00",5947790,183304
"2023-03-12 00:00:00",5764486,211095
"2023-03-11 00:00:00",5553391,214691
"2023-03-10 00:00:00",5338700,219446
"2023-03-09 00:00:00",5119254,227517
"2023-03-08 00:00:00",4891737,235865
"2023-03-07 00:00:00",4655872,0
"2023-03-06 00:00:00",4655872,451960
"2023-03-05 00:00:00",4203912,305098
"2023-03-04 00:00:00",3898814,335935
"2023-03-03 00:00:00",3562879,364463
"2023-03-02 00:00:00",3198416,398993
"2023-03-01 00:00:00",2799423,0
"2023-02-28 00:00:00",2799423,938980
"2023-02-27 00:00:00",1860443,638992
"2023-02-26 00:00:00",1221451,1184503
"2023-02-25 00:00:00",36948,0
