"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",5755227,20197
"2023-05-28 00:00:00",5735030,21870
"2023-05-27 00:00:00",5713160,0
"2023-05-26 00:00:00",5713160,22350
"2023-05-25 00:00:00",5690810,45110
"2023-05-24 00:00:00",5645700,11195
"2023-05-23 00:00:00",5634505,11195
"2023-05-22 00:00:00",5623310,20445
"2023-05-21 00:00:00",5602865,45728
"2023-05-20 00:00:00",5557137,24339
"2023-05-19 00:00:00",5532798,24764
"2023-05-18 00:00:00",5508034,24442
"2023-05-17 00:00:00",5483592,12111
"2023-05-16 00:00:00",5471482,12111
"2023-05-15 00:00:00",5459371,47527
"2023-05-14 00:00:00",5411844,26315
"2023-05-13 00:00:00",5385529,26645
"2023-05-12 00:00:00",5358884,26208
"2023-05-11 00:00:00",5332676,25470
"2023-05-10 00:00:00",5307206,0
"2023-05-09 00:00:00",5307206,50219
"2023-05-08 00:00:00",5256987,0
"2023-05-07 00:00:00",5256987,26286
"2023-05-06 00:00:00",5230701,44146
"2023-05-05 00:00:00",5186555,44146
"2023-05-04 00:00:00",5142409,29497
"2023-05-03 00:00:00",5112912,0
"2023-05-02 00:00:00",5112912,58813
"2023-05-01 00:00:00",5054099,29366
"2023-04-30 00:00:00",5024733,31111
"2023-04-29 00:00:00",4993622,0
"2023-04-28 00:00:00",4993622,62955
"2023-04-27 00:00:00",4930667,30731
"2023-04-26 00:00:00",4899936,30786
"2023-04-25 00:00:00",4869150,27770
"2023-04-24 00:00:00",4841380,30194
"2023-04-23 00:00:00",4811186,33031
"2023-04-22 00:00:00",4778155,33031
"2023-04-21 00:00:00",4745124,0
"2023-04-20 00:00:00",4745124,66594
"2023-04-19 00:00:00",4678530,33785
"2023-04-18 00:00:00",4644745,30680
"2023-04-17 00:00:00",4614065,35097
"2023-04-16 00:00:00",4578968,37108
"2023-04-15 00:00:00",4541860,37108
"2023-04-14 00:00:00",4504753,37108
"2023-04-13 00:00:00",4467645,38610
"2023-04-12 00:00:00",4429035,37916
"2023-04-11 00:00:00",4391119,34612
"2023-04-10 00:00:00",4356507,37984
"2023-04-09 00:00:00",4318523,41838
"2023-04-08 00:00:00",4276685,43575
"2023-04-07 00:00:00",4233110,0
"2023-04-06 00:00:00",4233110,84191
"2023-04-05 00:00:00",4148919,42677
"2023-04-04 00:00:00",4106242,39304
"2023-04-03 00:00:00",4066938,41177
"2023-04-02 00:00:00",4025761,46179
"2023-04-01 00:00:00",3979582,47517
"2023-03-31 00:00:00",3932065,47665
"2023-03-30 00:00:00",3884400,48473
"2023-03-29 00:00:00",3835927,48536
"2023-03-28 00:00:00",3787391,44684
"2023-03-27 00:00:00",3742707,48911
"2023-03-26 00:00:00",3693796,53886
"2023-03-25 00:00:00",3639910,54951
"2023-03-24 00:00:00",3584959,56838
"2023-03-23 00:00:00",3528121,0
"2023-03-22 00:00:00",3528121,119446
"2023-03-21 00:00:00",3408675,52693
"2023-03-20 00:00:00",3355982,0
"2023-03-19 00:00:00",3355982,57712
"2023-03-18 00:00:00",3298270,130437
"2023-03-17 00:00:00",3167833,68763
"2023-03-16 00:00:00",3099070,68993
"2023-03-15 00:00:00",3030077,72578
"2023-03-14 00:00:00",2957499,68949
"2023-03-13 00:00:00",2888550,76618
"2023-03-12 00:00:00",2811932,86968
"2023-03-11 00:00:00",2724964,90806
"2023-03-10 00:00:00",2634158,93237
"2023-03-09 00:00:00",2540921,95314
"2023-03-08 00:00:00",2445607,100290
"2023-03-07 00:00:00",2345317,0
"2023-03-06 00:00:00",2345317,207179
"2023-03-05 00:00:00",2138138,137886
"2023-03-04 00:00:00",2000252,155924
"2023-03-03 00:00:00",1844328,178767
"2023-03-02 00:00:00",1665561,202201
"2023-03-01 00:00:00",1463360,0
"2023-02-28 00:00:00",1463360,496721
"2023-02-27 00:00:00",966639,351795
"2023-02-26 00:00:00",614844,599237
"2023-02-25 00:00:00",15607,0
