"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",22684255,107384
"2023-05-28 00:00:00",22576871,121615
"2023-05-27 00:00:00",22455256,0
"2023-05-26 00:00:00",22455256,123082
"2023-05-25 00:00:00",22332174,242993
"2023-05-24 00:00:00",22089181,58727
"2023-05-23 00:00:00",22030454,58727
"2023-05-22 00:00:00",21971727,106171
"2023-05-21 00:00:00",21865556,240038
"2023-05-20 00:00:00",21625518,126972
"2023-05-19 00:00:00",21498546,128863
"2023-05-18 00:00:00",21369683,131804
"2023-05-17 00:00:00",21237879,66669
"2023-05-16 00:00:00",21171211,66669
"2023-05-15 00:00:00",21104542,253873
"2023-05-14 00:00:00",20850669,292613
"2023-05-13 00:00:00",20558056,0
"2023-05-12 00:00:00",20558056,149187
"2023-05-11 00:00:00",20408869,147680
"2023-05-10 00:00:00",20261189,146888
"2023-05-09 00:00:00",20114301,131007
"2023-05-08 00:00:00",19983294,144207
"2023-05-07 00:00:00",19839087,160048
"2023-05-06 00:00:00",19679039,162502
"2023-05-05 00:00:00",19516537,155724
"2023-05-04 00:00:00",19360813,156138
"2023-05-03 00:00:00",19204675,153023
"2023-05-02 00:00:00",19051652,141822
"2023-05-01 00:00:00",18909830,151683
"2023-04-30 00:00:00",18758147,166078
"2023-04-29 00:00:00",18592069,165705
"2023-04-28 00:00:00",18426364,166958
"2023-04-27 00:00:00",18259406,168320
"2023-04-26 00:00:00",18091086,165539
"2023-04-25 00:00:00",17925547,145488
"2023-04-24 00:00:00",17780059,159850
"2023-04-23 00:00:00",17620209,175603
"2023-04-22 00:00:00",17444606,174071
"2023-04-21 00:00:00",17270535,172686
"2023-04-20 00:00:00",17097849,177450
"2023-04-19 00:00:00",16920399,180294
"2023-04-18 00:00:00",16740105,158574
"2023-04-17 00:00:00",16581531,172569
"2023-04-16 00:00:00",16408962,188424
"2023-04-15 00:00:00",16220538,185242
"2023-04-14 00:00:00",16035296,187001
"2023-04-13 00:00:00",15848295,194194
"2023-04-12 00:00:00",15654101,187916
"2023-04-11 00:00:00",15466185,169601
"2023-04-10 00:00:00",15296584,189262
"2023-04-09 00:00:00",15107322,204431
"2023-04-08 00:00:00",14902891,214592
"2023-04-07 00:00:00",14688299,210715
"2023-04-06 00:00:00",14477584,201472
"2023-04-05 00:00:00",14276112,200769
"2023-04-04 00:00:00",14075343,179511
"2023-04-03 00:00:00",13895832,189294
"2023-04-02 00:00:00",13706538,210004
"2023-04-01 00:00:00",13496534,208904
"2023-03-31 00:00:00",13287630,207276
"2023-03-30 00:00:00",13080354,207687
"2023-03-29 00:00:00",12872667,206789
"2023-03-28 00:00:00",12665878,183921
"2023-03-27 00:00:00",12481957,199690
"2023-03-26 00:00:00",12282267,224002
"2023-03-25 00:00:00",12058265,243898
"2023-03-24 00:00:00",11814367,244930
"2023-03-23 00:00:00",11569437,250521
"2023-03-22 00:00:00",11318916,249700
"2023-03-21 00:00:00",11069216,218706
"2023-03-20 00:00:00",10850510,235175
"2023-03-19 00:00:00",10615335,264959
"2023-03-18 00:00:00",10350376,273578
"2023-03-17 00:00:00",10076798,284288
"2023-03-16 00:00:00",9792510,290503
"2023-03-15 00:00:00",9502007,294505
"2023-03-14 00:00:00",9207502,269499
"2023-03-13 00:00:00",8938003,302914
"2023-03-12 00:00:00",8635089,337735
"2023-03-11 00:00:00",8297354,340185
"2023-03-10 00:00:00",7957169,349109
"2023-03-09 00:00:00",7608060,375325
"2023-03-08 00:00:00",7232735,403501
"2023-03-07 00:00:00",6829234,362049
"2023-03-06 00:00:00",6467185,399219
"2023-03-05 00:00:00",6067966,470632
"2023-03-04 00:00:00",5597334,505191
"2023-03-03 00:00:00",5092143,552585
"2023-03-02 00:00:00",4539558,605177
"2023-03-01 00:00:00",3934381,700773
"2023-02-28 00:00:00",3233608,662178
"2023-02-27 00:00:00",2571430,885350
"2023-02-26 00:00:00",1686080,1627732
"2023-02-25 00:00:00",58348,0
