"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",14776595,65043
"2023-05-28 00:00:00",14711552,72825
"2023-05-27 00:00:00",14638727,0
"2023-05-26 00:00:00",14638727,73977
"2023-05-25 00:00:00",14564750,148969
"2023-05-24 00:00:00",14415781,36325
"2023-05-23 00:00:00",14379457,36325
"2023-05-22 00:00:00",14343132,63815
"2023-05-21 00:00:00",14279317,145047
"2023-05-20 00:00:00",14134270,76330
"2023-05-19 00:00:00",14057940,77948
"2023-05-18 00:00:00",13979992,77904
"2023-05-17 00:00:00",13902088,39156
"2023-05-16 00:00:00",13862933,39156
"2023-05-15 00:00:00",13823777,141956
"2023-05-14 00:00:00",13681821,82746
"2023-05-13 00:00:00",13599075,82555
"2023-05-12 00:00:00",13516520,82659
"2023-05-11 00:00:00",13433861,82031
"2023-05-10 00:00:00",13351830,0
"2023-05-09 00:00:00",13351830,154169
"2023-05-08 00:00:00",13197661,0
"2023-05-07 00:00:00",13197661,78164
"2023-05-06 00:00:00",13119497,131060
"2023-05-05 00:00:00",12988438,131060
"2023-05-04 00:00:00",12857378,87674
"2023-05-03 00:00:00",12769704,0
"2023-05-02 00:00:00",12769704,163100
"2023-05-01 00:00:00",12606604,84057
"2023-04-30 00:00:00",12522547,94884
"2023-04-29 00:00:00",12427663,0
"2023-04-28 00:00:00",12427663,190311
"2023-04-27 00:00:00",12237352,95741
"2023-04-26 00:00:00",12141611,96011
"2023-04-25 00:00:00",12045600,82371
"2023-04-24 00:00:00",11963229,89239
"2023-04-23 00:00:00",11873990,50082
"2023-04-22 00:00:00",11823908,50082
"2023-04-21 00:00:00",11773826,99201
"2023-04-20 00:00:00",11674625,199605
"2023-04-19 00:00:00",11475020,101896
"2023-04-18 00:00:00",11373124,88650
"2023-04-17 00:00:00",11284474,96774
"2023-04-16 00:00:00",11187700,108290
"2023-04-15 00:00:00",11079410,108290
"2023-04-14 00:00:00",10971120,108290
"2023-04-13 00:00:00",10862830,113176
"2023-04-12 00:00:00",10749654,108476
"2023-04-11 00:00:00",10641178,96650
"2023-04-10 00:00:00",10544528,105866
"2023-04-09 00:00:00",10438662,114652
"2023-04-08 00:00:00",10324010,122556
"2023-04-07 00:00:00",10201454,0
"2023-04-06 00:00:00",10201454,237575
"2023-04-05 00:00:00",9963879,117590
"2023-04-04 00:00:00",9846289,104071
"2023-04-03 00:00:00",9742218,112681
"2023-04-02 00:00:00",9629537,128209
"2023-04-01 00:00:00",9501328,130444
"2023-03-31 00:00:00",9370884,130643
"2023-03-30 00:00:00",9240241,132426
"2023-03-29 00:00:00",9107815,133243
"2023-03-28 00:00:00",8974572,116057
"2023-03-27 00:00:00",8858515,126738
"2023-03-26 00:00:00",8731777,142521
"2023-03-25 00:00:00",8589256,151478
"2023-03-24 00:00:00",8437778,156464
"2023-03-23 00:00:00",8281314,0
"2023-03-22 00:00:00",8281314,325254
"2023-03-21 00:00:00",7956060,143539
"2023-03-20 00:00:00",7812521,0
"2023-03-19 00:00:00",7812521,154458
"2023-03-18 00:00:00",7658063,359509
"2023-03-17 00:00:00",7298554,191296
"2023-03-16 00:00:00",7107258,192132
"2023-03-15 00:00:00",6915126,203890
"2023-03-14 00:00:00",6711236,187746
"2023-03-13 00:00:00",6523490,209322
"2023-03-12 00:00:00",6314168,240542
"2023-03-11 00:00:00",6073626,240647
"2023-03-10 00:00:00",5832979,246438
"2023-03-09 00:00:00",5586541,253229
"2023-03-08 00:00:00",5333312,270836
"2023-03-07 00:00:00",5062476,0
"2023-03-06 00:00:00",5062476,513936
"2023-03-05 00:00:00",4548540,344336
"2023-03-04 00:00:00",4204204,384175
"2023-03-03 00:00:00",3820029,440826
"2023-03-02 00:00:00",3379203,505075
"2023-03-01 00:00:00",2874128,0
"2023-02-28 00:00:00",2874128,1128988
"2023-02-27 00:00:00",1745140,675004
"2023-02-26 00:00:00",1070136,1038829
"2023-02-25 00:00:00",31307,0
