Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Feb 24, 2023",835,"429,809",,
"Feb 25, 2023",947,"483,429",,
"Feb 26, 2023","1,016","501,852",,
"Feb 27, 2023","1,038","583,412",,
"Mar 01, 2023",952,"584,364",,
"Mar 02, 2023","1,224","513,338",,
"Mar 03, 2023","1,456","529,983",,
"Mar 04, 2023","1,615","530,100",,
"Mar 05, 2023","1,806","531,786",,
"Mar 06, 2023","1,995","540,948",,
"Mar 07, 2023","2,189","536,464",,
"Mar 08, 2023","2,353","543,523",,
"Mar 09, 2023","2,473","461,272",,
"Mar 10, 2023","2,621","463,127",,
"Mar 11, 2023","2,816","456,227",,
"Mar 12, 2023","2,981","458,094",,
"Mar 13, 2023","3,138","460,896",,
"Mar 14, 2023","3,294","462,819",,
"Mar 15, 2023","3,431","464,620",,
"Mar 16, 2023","3,554","465,792",,
"Mar 17, 2023","3,730","468,744",,
"Mar 18, 2023","3,944","471,695",,
"Mar 19, 2023","4,144","474,015",,
"Mar 20, 2023","4,290","475,200",,
"Mar 21, 2023","4,445","478,861",,
"Mar 22, 2023","4,606","483,010",,
"Mar 23, 2023","4,818","485,996",,
"Mar 24, 2023","5,060","490,625",,
"Mar 25, 2023","5,322","497,743",,
"Mar 26, 2023","5,355","496,402",,
"Mar 27, 2023","5,432","497,930",,
"Mar 28, 2023","5,484","498,244",,
"Mar 29, 2023","5,528","499,476",,
"Mar 30, 2023","5,591","499,222",,
"Mar 31, 2023","5,640","501,959",,
"Apr 01, 2023","5,711","503,057",,
"Apr 02, 2023","5,776","505,513",,
"Apr 03, 2023","5,830","507,831",,
"Apr 04, 2023","5,877","499,918",,
"Apr 05, 2023","5,907","502,834",,
"Apr 06, 2023","5,951","503,980",,
"Apr 07, 2023","5,982","504,456",,
"Apr 08, 2023","6,013","513,474",,
"Apr 09, 2023","6,032","514,635",,
"Apr 10, 2023","6,080","515,632",,
"Apr 11, 2023","6,114","516,057",,
"Apr 12, 2023","6,134","516,070",,
"Apr 13, 2023","6,161","517,295",,
"Apr 14, 2023","6,195","518,206",,
"Apr 15, 2023","6,219","520,982",,
"Apr 16, 2023","6,269","521,834",,
"Apr 17, 2023","6,312","524,644",,
"Apr 18, 2023","6,360","526,084",,
"Apr 19, 2023","6,425","528,288",,
"Apr 20, 2023","6,477","529,162",,
"Apr 21, 2023","6,531","530,903",,
"Apr 22, 2023","6,566","532,189",,
"Apr 23, 2023","6,588","535,345",,
"Apr 24, 2023","6,613","536,339",,
"Apr 25, 2023","6,637","537,671",,
"Apr 26, 2023","6,669","539,219",,
"Apr 27, 2023","6,719","540,970",,
"Apr 28, 2023","6,748","545,038",,
"Apr 29, 2023","6,770","546,444",,
"Apr 30, 2023","6,801","545,539",,
"May 01, 2023","6,833","547,663",,
"May 02, 2023","6,891","549,744",,
"May 03, 2023","6,921","522,654",,
"May 04, 2023","6,953","523,781",,
"May 05, 2023","6,970","524,071",,
"May 06, 2023","7,003","524,790",,
"May 07, 2023","7,030","527,711",,
"May 08, 2023","7,054","528,919",,
"May 09, 2023","7,099","532,119",,
"May 10, 2023","7,139","533,935",,
"May 11, 2023","7,160","535,451",,
"May 12, 2023","7,191","537,371",,
"May 13, 2023","7,226","539,417",,
"May 14, 2023","7,263","541,309",,
"May 15, 2023","7,285","558,597",,
"May 16, 2023","7,313","560,564",,
"May 17, 2023","7,333","562,195",,
"May 18, 2023","7,361","563,437",,
"May 19, 2023","7,389","565,158",,
"May 20, 2023","7,415","566,402",,
"May 21, 2023","7,444","568,115",,
"May 22, 2023","7,468","570,887",,
"May 23, 2023","7,499","572,702",,
"May 24, 2023","7,527","573,975",,
"May 25, 2023","7,547","575,149",,
"May 26, 2023","7,569","576,746",,
"May 27, 2023","7,592","578,252",,
"May 28, 2023","7,626","580,341",,
"May 29, 2023","7,653","594,381",,
Invalid date,,,,
