Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Feb 24, 2023",805,"400,397",,
"Feb 25, 2023",903,"443,196",,
"Feb 26, 2023",958,"459,375",,
"Feb 27, 2023",987,"462,458",,
"Mar 01, 2023",904,"472,327",,
"Mar 02, 2023","1,156","494,148",,
"Mar 03, 2023","1,395","520,564",,
"Mar 04, 2023","1,546","525,531",,
"Mar 05, 2023","1,723","527,455",,
"Mar 06, 2023","1,895","529,558",,
"Mar 07, 2023","2,078","526,079",,
"Mar 08, 2023","2,255","532,478",,
"Mar 09, 2023","2,367","533,292",,
"Mar 10, 2023","2,513","538,397",,
"Mar 11, 2023","2,697","541,040",,
"Mar 12, 2023","2,847","543,015",,
"Mar 13, 2023","2,990","548,313",,
"Mar 14, 2023","3,122","577,474",,
"Mar 15, 2023","3,270","483,288",,
"Mar 16, 2023","3,382","488,152",,
"Mar 17, 2023","3,539","490,651",,
"Mar 18, 2023","3,736","493,922",,
"Mar 19, 2023","3,928","496,166",,
"Mar 20, 2023","4,071","501,045",,
"Mar 21, 2023","4,230","503,825",,
"Mar 22, 2023","4,383","506,201",,
"Mar 23, 2023","4,591","509,412",,
"Mar 24, 2023","4,821","522,700",,
"Mar 25, 2023","5,062","531,974",,
"Mar 26, 2023","5,105","514,804",,
"Mar 27, 2023","5,174","516,780",,
"Mar 28, 2023","5,207","517,472",,
"Mar 29, 2023","5,252","520,104",,
"Mar 30, 2023","5,296","525,157",,
"Mar 31, 2023","5,345","530,835",,
"Apr 01, 2023","5,411","532,472",,
"Apr 02, 2023","5,464","533,990",,
"Apr 03, 2023","5,509","533,224",,
"Apr 04, 2023","5,551","537,848",,
"Apr 05, 2023","5,580","539,234",,
"Apr 06, 2023","5,621","541,444",,
"Apr 07, 2023","5,657","542,743",,
"Apr 08, 2023","5,681","546,294",,
"Apr 09, 2023","5,702","547,885",,
"Apr 10, 2023","5,739","549,111",,
"Apr 11, 2023","5,771","549,786",,
"Apr 12, 2023","5,791","550,063",,
"Apr 13, 2023","5,811","551,692",,
"Apr 14, 2023","5,848","553,433",,
"Apr 15, 2023","5,878","556,339",,
"Apr 16, 2023","5,926","558,645",,
"Apr 17, 2023","5,977","561,280",,
"Apr 18, 2023","6,014","563,038",,
"Apr 19, 2023","6,080","565,078",,
"Apr 20, 2023","6,111","565,140",,
"Apr 21, 2023","6,149","566,835",,
"Apr 22, 2023","6,183","568,102",,
"Apr 23, 2023","6,201","569,091",,
"Apr 24, 2023","6,237","570,338",,
"Apr 25, 2023","6,260","572,124",,
"Apr 26, 2023","6,290","573,462",,
"Apr 27, 2023","6,326","575,376",,
"Apr 28, 2023","6,348","579,501",,
"Apr 29, 2023","6,369","581,123",,
"Apr 30, 2023","6,395","581,637",,
"May 01, 2023","6,424","582,438",,
"May 02, 2023","6,475","585,263",,
"May 03, 2023","6,497","561,204",,
"May 04, 2023","6,523","560,424",,
"May 05, 2023","6,532","563,346",,
"May 06, 2023","6,557","564,910",,
"May 07, 2023","6,582","566,926",,
"May 08, 2023","6,605","567,959",,
"May 09, 2023","6,631","569,448",,
"May 10, 2023","6,667","571,890",,
"May 11, 2023","6,689","573,633",,
"May 12, 2023","6,719","575,281",,
"May 13, 2023","6,763","576,916",,
"May 14, 2023","6,805","578,974",,
"May 15, 2023","6,834","596,164",,
"May 16, 2023","6,856","597,207",,
"May 17, 2023","6,873","598,213",,
"May 18, 2023","6,902","599,229",,
"May 19, 2023","6,918","598,554",,
"May 20, 2023","6,938","600,925",,
"May 21, 2023","6,962","597,563",,
"May 22, 2023","6,982","599,158",,
"May 23, 2023","7,007","601,164",,
"May 24, 2023","7,029","611,199",,
"May 25, 2023","7,040","637,488",,
"May 26, 2023","7,062","639,082",,
"May 27, 2023","7,078","640,522",,
"May 28, 2023","7,105","641,366",,
"May 29, 2023","7,127","654,942",,
Invalid date,,,,
