"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",7612632,29906
"2023-05-28 00:00:00",7582726,32951
"2023-05-27 00:00:00",7549775,0
"2023-05-26 00:00:00",7549775,33702
"2023-05-25 00:00:00",7516073,69406
"2023-05-24 00:00:00",7446667,16964
"2023-05-23 00:00:00",7429704,16964
"2023-05-22 00:00:00",7412740,61964
"2023-05-21 00:00:00",7350776,35515
"2023-05-20 00:00:00",7315261,35594
"2023-05-19 00:00:00",7279667,35769
"2023-05-18 00:00:00",7243898,35807
"2023-05-17 00:00:00",7208091,18217
"2023-05-16 00:00:00",7189874,18217
"2023-05-15 00:00:00",7171657,67239
"2023-05-14 00:00:00",7104418,39229
"2023-05-13 00:00:00",7065189,39400
"2023-05-12 00:00:00",7025789,39236
"2023-05-11 00:00:00",6986553,38569
"2023-05-10 00:00:00",6947984,0
"2023-05-09 00:00:00",6947984,74146
"2023-05-08 00:00:00",6873838,0
"2023-05-07 00:00:00",6873838,37769
"2023-05-06 00:00:00",6836069,63683
"2023-05-05 00:00:00",6772386,63683
"2023-05-04 00:00:00",6708703,42094
"2023-05-03 00:00:00",6666609,0
"2023-05-02 00:00:00",6666609,80956
"2023-05-01 00:00:00",6585653,39904
"2023-04-30 00:00:00",6545749,43629
"2023-04-29 00:00:00",6502120,0
"2023-04-28 00:00:00",6502120,88686
"2023-04-27 00:00:00",6413434,44323
"2023-04-26 00:00:00",6369111,43987
"2023-04-25 00:00:00",6325124,39025
"2023-04-24 00:00:00",6286099,42186
"2023-04-23 00:00:00",6243913,47430
"2023-04-22 00:00:00",6196483,47430
"2023-04-21 00:00:00",6149053,0
"2023-04-20 00:00:00",6149053,94165
"2023-04-19 00:00:00",6054888,48563
"2023-04-18 00:00:00",6006325,42236
"2023-04-17 00:00:00",5964089,47983
"2023-04-16 00:00:00",5916106,51481
"2023-04-15 00:00:00",5864625,51481
"2023-04-14 00:00:00",5813143,51481
"2023-04-13 00:00:00",5761662,54112
"2023-04-12 00:00:00",5707550,51976
"2023-04-11 00:00:00",5655574,46253
"2023-04-10 00:00:00",5609321,49929
"2023-04-09 00:00:00",5559392,54567
"2023-04-08 00:00:00",5504825,58475
"2023-04-07 00:00:00",5446350,0
"2023-04-06 00:00:00",5446350,117964
"2023-04-05 00:00:00",5328386,58804
"2023-04-04 00:00:00",5269582,52296
"2023-04-03 00:00:00",5217286,56171
"2023-04-02 00:00:00",5161115,62764
"2023-04-01 00:00:00",5098351,64552
"2023-03-31 00:00:00",5033799,64948
"2023-03-30 00:00:00",4968851,66131
"2023-03-29 00:00:00",4902720,66511
"2023-03-28 00:00:00",4836209,59251
"2023-03-27 00:00:00",4776958,62888
"2023-03-26 00:00:00",4714070,70830
"2023-03-25 00:00:00",4643240,74066
"2023-03-24 00:00:00",4569174,77283
"2023-03-23 00:00:00",4491891,0
"2023-03-22 00:00:00",4491891,160522
"2023-03-21 00:00:00",4331369,73069
"2023-03-20 00:00:00",4258300,0
"2023-03-19 00:00:00",4258300,75567
"2023-03-18 00:00:00",4182733,175575
"2023-03-17 00:00:00",4007158,92664
"2023-03-16 00:00:00",3914494,93698
"2023-03-15 00:00:00",3820796,97780
"2023-03-14 00:00:00",3723016,91167
"2023-03-13 00:00:00",3631849,102337
"2023-03-12 00:00:00",3529512,117531
"2023-03-11 00:00:00",3411981,121632
"2023-03-10 00:00:00",3290349,126737
"2023-03-09 00:00:00",3163612,130704
"2023-03-08 00:00:00",3032908,135697
"2023-03-07 00:00:00",2897211,0
"2023-03-06 00:00:00",2897211,267222
"2023-03-05 00:00:00",2629989,179863
"2023-03-04 00:00:00",2450126,197198
"2023-03-03 00:00:00",2252928,225298
"2023-03-02 00:00:00",2027630,253777
"2023-03-01 00:00:00",1773853,0
"2023-02-28 00:00:00",1773853,592623
"2023-02-27 00:00:00",1181230,407989
"2023-02-26 00:00:00",773241,751462
"2023-02-25 00:00:00",21779,0
