Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Feb 24, 2023",998,"462,515",,
"Feb 25, 2023","1,209","4,136,356",,
"Feb 26, 2023","1,321","4,279,206",,
"Feb 27, 2023","1,393","19,307,746",1,"15,072,282"
"Mar 01, 2023","1,277","19,224,316",2,"18,291,474"
"Mar 02, 2023","1,667","19,355,978",2,"18,296,604"
"Mar 03, 2023","2,025","19,431,435",2,"18,305,689"
"Mar 04, 2023","2,266","19,747,286",2,"18,310,918"
"Mar 05, 2023","2,563","19,771,773",2,"18,315,455"
"Mar 06, 2023","2,853","19,779,753",2,"18,319,783"
"Mar 07, 2023","3,170","19,809,905",2,"18,323,773"
"Mar 08, 2023","3,462","19,906,781",2,"18,324,378"
"Mar 09, 2023","3,665","19,902,320",2,"18,329,015"
"Mar 10, 2023","3,908","19,907,947",2,"18,332,398"
"Mar 11, 2023","4,235","4,826,017",2,"3,239,955"
"Mar 12, 2023","4,488","4,870,333",2,"3,241,784"
"Mar 13, 2023","4,738","4,919,873",2,"3,243,258"
"Mar 14, 2023","4,998","4,932,903",2,"3,244,709"
"Mar 15, 2023","5,269","5,069,192",2,"3,246,353"
"Mar 16, 2023","5,479","5,094,715",2,"3,248,395"
"Mar 17, 2023","5,779","5,109,546",2,"3,250,746"
"Mar 18, 2023","6,118","5,121,402",2,"3,253,228"
"Mar 19, 2023","6,432","5,112,449",1,"3,250,526"
"Mar 20, 2023","6,671","5,122,434",1,"3,252,902"
"Mar 21, 2023","6,949","5,131,992",1,"3,255,073"
"Mar 22, 2023","7,194","5,161,262",1,"3,257,437"
"Mar 23, 2023","7,567","5,163,056",1,"3,259,880"
"Mar 24, 2023","7,965","5,175,005",1,"3,262,442"
"Mar 25, 2023","8,518","5,183,516",1,"3,264,706"
"Mar 26, 2023","8,623","5,183,766",1,"3,267,074"
"Mar 27, 2023","8,773","4,965,374",1,"3,269,451"
"Mar 28, 2023","8,919","4,981,802",1,"3,271,904"
"Mar 29, 2023","9,040","5,002,950",1,"3,274,073"
"Mar 30, 2023","9,170","5,010,234",1,"3,276,589"
"Mar 31, 2023","9,289","5,018,565",1,"3,279,310"
"Apr 01, 2023","9,438","5,025,251",1,"3,282,095"
"Apr 02, 2023","9,557","5,035,918",1,"3,284,602"
"Apr 03, 2023","9,660","5,042,133",1,"3,286,903"
"Apr 04, 2023","9,740","5,035,283",1,"3,289,010"
"Apr 05, 2023","9,821","5,043,648",1,"3,293,030"
"Apr 06, 2023","9,934","5,050,608",1,"3,295,618"
"Apr 07, 2023","10,014","5,057,714",1,"3,299,660"
"Apr 08, 2023","10,096","1,771,633",,
"Apr 09, 2023","10,169","1,777,388",,
"Apr 10, 2023","10,278","1,779,951",,
"Apr 11, 2023","10,359","1,782,569",,
"Apr 12, 2023","10,414","1,789,684",,
"Apr 13, 2023","10,477","1,796,961",,
"Apr 14, 2023","10,550","1,801,432",,
"Apr 15, 2023","10,615","1,810,575",,
"Apr 16, 2023","10,701","1,813,813",,
"Apr 17, 2023","10,807","1,821,680",,
"Apr 18, 2023","10,917","1,823,039",,
"Apr 19, 2023","11,068","1,827,557",,
"Apr 20, 2023","11,182","1,848,669",,
"Apr 21, 2023","11,300","1,857,106",,
"Apr 22, 2023","11,368","1,860,049",,
"Apr 23, 2023","11,425","1,807,591",,
"Apr 24, 2023","11,503","1,902,474",,
"Apr 25, 2023","11,578","1,920,562",,
"Apr 26, 2023","11,659","1,922,035",,
"Apr 27, 2023","11,737","1,925,709",,
"Apr 28, 2023","11,788","1,928,108",,
"Apr 29, 2023","11,868","1,933,147",,
"Apr 30, 2023","11,945","1,935,285",,
"May 01, 2023","12,019","1,937,193",,
"May 02, 2023","12,117","1,978,979",,
"May 03, 2023","12,174","2,086,705",,
"May 04, 2023","12,249","2,093,328",,
"May 05, 2023","12,315","2,086,181",,
"May 06, 2023","12,395","2,088,763",,
"May 07, 2023","12,463","2,105,536",,
"May 08, 2023","12,513","2,075,133",,
"May 09, 2023","12,587","2,079,744",,
"May 10, 2023","12,653","2,083,493",,
"May 11, 2023","12,698","2,076,337",,
"May 12, 2023","12,771","2,077,974",,
"May 13, 2023","12,869","2,077,610",,
"May 14, 2023","12,958","2,086,793",,
"May 15, 2023","13,023","2,130,219",,
"May 16, 2023","13,081","2,140,469",,
"May 17, 2023","13,147","2,075,590",,
"May 18, 2023","13,225","2,077,905",,
"May 19, 2023","13,279","2,080,426",,
"May 20, 2023","13,334","2,088,598",,
"May 21, 2023","13,393","2,095,523",,
"May 22, 2023","13,447","2,094,924",,
"May 23, 2023","13,524","2,143,575",,
"May 24, 2023","13,573","2,144,976",,
"May 25, 2023","13,610","2,148,453",,
"May 26, 2023","13,666","2,151,867",,
"May 27, 2023","13,737","2,158,779",,
"May 28, 2023","13,813","2,144,410",,
"May 29, 2023","13,870","2,158,640",,
Invalid date,,,,
