"DateTime","Spotify Streams","Change"
"2023-05-29 00:00:00",6592991,26286
"2023-05-28 00:00:00",6566705,28336
"2023-05-27 00:00:00",6538369,0
"2023-05-26 00:00:00",6538369,29665
"2023-05-25 00:00:00",6508704,59407
"2023-05-24 00:00:00",6449297,14874
"2023-05-23 00:00:00",6434424,14874
"2023-05-22 00:00:00",6419550,26763
"2023-05-21 00:00:00",6392787,60436
"2023-05-20 00:00:00",6332351,31994
"2023-05-19 00:00:00",6300357,32625
"2023-05-18 00:00:00",6267732,32457
"2023-05-17 00:00:00",6235275,16405
"2023-05-16 00:00:00",6218871,16405
"2023-05-15 00:00:00",6202466,59846
"2023-05-14 00:00:00",6142620,34351
"2023-05-13 00:00:00",6108269,35326
"2023-05-12 00:00:00",6072943,35151
"2023-05-11 00:00:00",6037792,34261
"2023-05-10 00:00:00",6003531,0
"2023-05-09 00:00:00",6003531,65227
"2023-05-08 00:00:00",5938304,0
"2023-05-07 00:00:00",5938304,33707
"2023-05-06 00:00:00",5904597,56269
"2023-05-05 00:00:00",5848329,56269
"2023-05-04 00:00:00",5792060,38126
"2023-05-03 00:00:00",5753934,0
"2023-05-02 00:00:00",5753934,72176
"2023-05-01 00:00:00",5681758,36269
"2023-04-30 00:00:00",5645489,39341
"2023-04-29 00:00:00",5606148,0
"2023-04-28 00:00:00",5606148,79064
"2023-04-27 00:00:00",5527084,39167
"2023-04-26 00:00:00",5487917,39538
"2023-04-25 00:00:00",5448379,34677
"2023-04-24 00:00:00",5413702,38342
"2023-04-23 00:00:00",5375360,42749
"2023-04-22 00:00:00",5332612,42749
"2023-04-21 00:00:00",5289863,0
"2023-04-20 00:00:00",5289863,85732
"2023-04-19 00:00:00",5204131,44078
"2023-04-18 00:00:00",5160053,38615
"2023-04-17 00:00:00",5121438,42415
"2023-04-16 00:00:00",5079023,46188
"2023-04-15 00:00:00",5032835,46188
"2023-04-14 00:00:00",4986646,46188
"2023-04-13 00:00:00",4940458,46710
"2023-04-12 00:00:00",4893748,44339
"2023-04-11 00:00:00",4849409,40679
"2023-04-10 00:00:00",4808730,44533
"2023-04-09 00:00:00",4764197,47562
"2023-04-08 00:00:00",4716635,51361
"2023-04-07 00:00:00",4665274,0
"2023-04-06 00:00:00",4665274,99711
"2023-04-05 00:00:00",4565563,51080
"2023-04-04 00:00:00",4514483,45480
"2023-04-03 00:00:00",4469003,48191
"2023-04-02 00:00:00",4420812,54480
"2023-04-01 00:00:00",4366332,54606
"2023-03-31 00:00:00",4311726,54227
"2023-03-30 00:00:00",4257499,53529
"2023-03-29 00:00:00",4203970,53655
"2023-03-28 00:00:00",4150315,48067
"2023-03-27 00:00:00",4102248,52253
"2023-03-26 00:00:00",4049995,60091
"2023-03-25 00:00:00",3989904,61759
"2023-03-24 00:00:00",3928145,63679
"2023-03-23 00:00:00",3864466,0
"2023-03-22 00:00:00",3864466,134139
"2023-03-21 00:00:00",3730327,58628
"2023-03-20 00:00:00",3671699,0
"2023-03-19 00:00:00",3671699,63312
"2023-03-18 00:00:00",3608387,145405
"2023-03-17 00:00:00",3462982,74149
"2023-03-16 00:00:00",3388833,75755
"2023-03-15 00:00:00",3313078,78254
"2023-03-14 00:00:00",3234824,73521
"2023-03-13 00:00:00",3161303,80599
"2023-03-12 00:00:00",3080704,91444
"2023-03-11 00:00:00",2989260,95323
"2023-03-10 00:00:00",2893937,99236
"2023-03-09 00:00:00",2794701,103226
"2023-03-08 00:00:00",2691475,110431
"2023-03-07 00:00:00",2581044,0
"2023-03-06 00:00:00",2581044,219317
"2023-03-05 00:00:00",2361727,149546
"2023-03-04 00:00:00",2212181,166706
"2023-03-03 00:00:00",2045475,188900
"2023-03-02 00:00:00",1856575,216648
"2023-03-01 00:00:00",1639927,0
"2023-02-28 00:00:00",1639927,536029
"2023-02-27 00:00:00",1103898,379334
"2023-02-26 00:00:00",724564,705379
"2023-02-25 00:00:00",19185,0
