"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",3259867,5730
"2023-05-13 00:00:00",3254137,5520
"2023-05-12 00:00:00",3248617,0
"2023-05-11 00:00:00",3248617,10826
"2023-05-10 00:00:00",3237791,5020
"2023-05-09 00:00:00",3232771,0
"2023-05-08 00:00:00",3232771,9147
"2023-05-07 00:00:00",3223624,5470
"2023-05-06 00:00:00",3218154,0
"2023-05-05 00:00:00",3218154,10986
"2023-05-04 00:00:00",3207168,5190
"2023-05-03 00:00:00",3201978,5141
"2023-05-02 00:00:00",3196837,0
"2023-05-01 00:00:00",3196837,9062
"2023-04-30 00:00:00",3187775,5441
"2023-04-29 00:00:00",3182334,5307
"2023-04-28 00:00:00",3177028,5307
"2023-04-27 00:00:00",3171721,5167
"2023-04-26 00:00:00",3166554,5049
"2023-04-25 00:00:00",3161505,4208
"2023-04-24 00:00:00",3157297,4686
"2023-04-23 00:00:00",3152611,5433
"2023-04-22 00:00:00",3147178,5630
"2023-04-21 00:00:00",3141548,5541
"2023-04-20 00:00:00",3136007,5539
"2023-04-19 00:00:00",3130468,4763
"2023-04-18 00:00:00",3125706,4763
"2023-04-17 00:00:00",3120943,5106
"2023-04-16 00:00:00",3115837,5712
"2023-04-15 00:00:00",3110125,0
"2023-04-14 00:00:00",3110125,5582
"2023-04-13 00:00:00",3104543,11098
"2023-04-12 00:00:00",3093445,0
"2023-04-11 00:00:00",3093445,9631
"2023-04-10 00:00:00",3083814,5035
"2023-04-09 00:00:00",3078779,5341
"2023-04-08 00:00:00",3073438,5785
"2023-04-07 00:00:00",3067653,0
"2023-04-06 00:00:00",3067653,11243
"2023-04-05 00:00:00",3056410,5301
"2023-04-04 00:00:00",3051109,4736
"2023-04-03 00:00:00",3046373,5291
"2023-04-02 00:00:00",3041082,5764
"2023-04-01 00:00:00",3035318,6190
"2023-03-31 00:00:00",3029128,5953
"2023-03-30 00:00:00",3023175,6089
"2023-03-29 00:00:00",3017086,6025
"2023-03-28 00:00:00",3011061,5068
"2023-03-27 00:00:00",3005993,5472
"2023-03-26 00:00:00",3000521,6221
"2023-03-25 00:00:00",2994300,6162
"2023-03-24 00:00:00",2988138,0
"2023-03-23 00:00:00",2988138,12026
"2023-03-22 00:00:00",2976112,5914
"2023-03-21 00:00:00",2970198,5056
"2023-03-20 00:00:00",2965142,0
"2023-03-19 00:00:00",2965142,11724
"2023-03-18 00:00:00",2953418,6178
"2023-03-17 00:00:00",2947240,6223
"2023-03-16 00:00:00",2941017,6088
"2023-03-15 00:00:00",2934929,5793
"2023-03-14 00:00:00",2929136,5223
"2023-03-13 00:00:00",2923913,0
"2023-03-12 00:00:00",2923913,6059
"2023-03-11 00:00:00",2917854,7047
"2023-03-10 00:00:00",2910807,14426
"2023-03-09 00:00:00",2896381,7379
"2023-03-08 00:00:00",2889002,7118
"2023-03-07 00:00:00",2881884,6320
"2023-03-06 00:00:00",2875564,7188
"2023-03-05 00:00:00",2868376,0
"2023-03-04 00:00:00",2868376,15959
"2023-03-03 00:00:00",2852417,7674
"2023-03-02 00:00:00",2844743,7391
"2023-03-01 00:00:00",2837352,7069
"2023-02-28 00:00:00",2830283,0
"2023-02-27 00:00:00",2830283,12636
"2023-02-26 00:00:00",2817647,6697
"2023-02-25 00:00:00",2810950,6700
"2023-02-24 00:00:00",2804250,6879
"2023-02-23 00:00:00",2797371,7065
"2023-02-22 00:00:00",2790306,6050
"2023-02-21 00:00:00",2784256,5715
"2023-02-20 00:00:00",2778541,0
"2023-02-19 00:00:00",2778541,13388
"2023-02-18 00:00:00",2765153,7220
"2023-02-17 00:00:00",2757933,6901
"2023-02-16 00:00:00",2751032,6843
"2023-02-15 00:00:00",2744189,6321
"2023-02-14 00:00:00",2737868,0
"2023-02-13 00:00:00",2737868,12086
"2023-02-12 00:00:00",2725782,7456
"2023-02-11 00:00:00",2718326,7395
"2023-02-10 00:00:00",2710931,7186
"2023-02-09 00:00:00",2703745,7125
"2023-02-08 00:00:00",2696620,7002
"2023-02-07 00:00:00",2689618,5948
"2023-02-06 00:00:00",2683670,6504
"2023-02-05 00:00:00",2677166,7280
"2023-02-04 00:00:00",2669886,7285
"2023-02-03 00:00:00",2662601,0
"2023-02-02 00:00:00",2662601,14535
"2023-02-01 00:00:00",2648066,6982
"2023-01-31 00:00:00",2641084,5811
"2023-01-30 00:00:00",2635273,6830
"2023-01-29 00:00:00",2628443,7847
"2023-01-28 00:00:00",2620596,7786
"2023-01-27 00:00:00",2612810,7820
"2023-01-26 00:00:00",2604990,0
"2023-01-25 00:00:00",2604990,15226
"2023-01-24 00:00:00",2589764,6307
"2023-01-23 00:00:00",2583457,6875
"2023-01-22 00:00:00",2576582,8011
"2023-01-21 00:00:00",2568571,8149
"2023-01-20 00:00:00",2560422,8374
"2023-01-19 00:00:00",2552048,8135
"2023-01-18 00:00:00",2543913,7344
"2023-01-17 00:00:00",2536569,6975
"2023-01-16 00:00:00",2529594,7380
"2023-01-15 00:00:00",2522214,8898
"2023-01-14 00:00:00",2513316,8839
"2023-01-13 00:00:00",2504477,8835
"2023-01-12 00:00:00",2495642,8796
"2023-01-11 00:00:00",2486846,8375
"2023-01-10 00:00:00",2478471,6593
"2023-01-09 00:00:00",2471878,7310
"2023-01-08 00:00:00",2464568,7887
"2023-01-07 00:00:00",2456681,7897
"2023-01-06 00:00:00",2448784,7334
"2023-01-05 00:00:00",2441450,6883
"2023-01-04 00:00:00",2434567,6316
"2023-01-03 00:00:00",2428251,6239
"2023-01-02 00:00:00",2422012,6983
"2023-01-01 00:00:00",2415029,7366
"2022-12-31 00:00:00",2407663,7121
"2022-12-30 00:00:00",2400542,6986
"2022-12-29 00:00:00",2393556,6852
"2022-12-28 00:00:00",2386704,6110
"2022-12-27 00:00:00",2380594,5116
