Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 09, 2022",959,"36,833",,
"Aug 10, 2022","1,202","47,737",,
"Aug 11, 2022","1,386","55,089",,
"Aug 12, 2022","1,572","72,231",1,175
"Aug 13, 2022","1,673","72,831",1,175
"Aug 14, 2022","1,756","74,800",1,175
"Aug 15, 2022","1,848","76,836",1,175
"Aug 16, 2022","1,913","78,956",1,175
"Aug 17, 2022","1,962","77,947",1,175
"Aug 18, 2022","2,003","80,725",1,175
"Aug 19, 2022","2,065","81,537",1,175
"Aug 20, 2022","2,091","91,482",1,175
"Aug 21, 2022","2,119","91,701",1,175
"Aug 22, 2022","2,151","93,082",,
"Aug 23, 2022","2,180","93,523",,
"Aug 24, 2022","2,218","95,435",,
"Aug 25, 2022","2,254","99,397",,
"Aug 26, 2022","2,297","101,134",,
"Aug 27, 2022","2,326","101,746",,
"Aug 28, 2022","2,341","106,502",,
"Aug 29, 2022","2,360","105,254",,
"Aug 30, 2022","2,374","100,382",,
"Aug 31, 2022","2,379","100,639",,
"Sep 01, 2022","2,395","115,596",,
"Sep 02, 2022","2,410","116,201",,
"Sep 03, 2022","2,424","116,469",,
"Sep 04, 2022","2,433","101,961",,
"Sep 05, 2022","2,440","102,053",,
"Sep 06, 2022","2,445","107,014",,
"Sep 07, 2022","2,455","107,705",,
"Sep 08, 2022","2,472","107,868",,
"Sep 09, 2022","2,478","103,221",,
"Sep 10, 2022","2,489","108,288",,
"Sep 11, 2022","2,495","108,160",,
"Sep 12, 2022","2,502","108,457",,
"Sep 13, 2022","2,514","108,754",,
"Sep 14, 2022","2,523","108,924",,
"Sep 15, 2022","2,532","109,112",,
"Sep 16, 2022","2,545","122,694",,
"Sep 17, 2022","2,550","122,845",,
"Sep 18, 2022","2,555","123,062",,
"Sep 19, 2022","2,558","122,916",,
"Sep 20, 2022","2,572","122,959",,
"Sep 21, 2022","2,578","118,327",,
"Sep 22, 2022","2,582","118,218",,
"Sep 23, 2022","2,585","118,359",,
"Sep 24, 2022","2,591","118,884",,
"Sep 25, 2022","2,594","119,057",,
"Sep 26, 2022","2,603","119,245",,
"Sep 27, 2022","2,607","119,388",,
"Sep 28, 2022","2,619","119,574",,
"Sep 29, 2022","2,624","119,684",,
"Sep 30, 2022","2,629","120,087",,
"Oct 01, 2022","2,632","120,201",,
"Oct 02, 2022","2,640","120,783",,
"Oct 03, 2022","2,647","120,980",,
"Oct 04, 2022","2,659","121,411",,
"Oct 05, 2022","2,668","121,580",,
"Oct 06, 2022","2,674","126,643",,
"Oct 07, 2022","2,682","181,006",,
"Oct 08, 2022","2,686","176,188",,
"Oct 09, 2022","2,688","487,642",,
"Oct 10, 2022","2,692","489,908",,
"Oct 11, 2022","2,701","124,443",,
"Oct 12, 2022","2,703","182,387",,
"Oct 13, 2022","2,709","182,609",,
"Oct 14, 2022","2,716","123,813",,
"Oct 15, 2022","2,718","123,719",,
"Oct 16, 2022","2,718","122,705",,
"Oct 17, 2022","2,723","127,920",,
"Oct 18, 2022","2,728","128,032",,
"Oct 19, 2022","2,730","128,148",,
"Oct 20, 2022","2,729","128,262",,
"Oct 21, 2022","2,738","123,983",,
"Oct 22, 2022","2,740","124,195",,
"Oct 23, 2022","2,745","124,621",,
"Oct 24, 2022","2,755","130,330",,
"Oct 25, 2022","2,758","130,498",,
"Oct 26, 2022","2,763","130,780",,
"Oct 27, 2022","2,769","131,179",,
"Oct 28, 2022","2,775","131,325",,
"Oct 29, 2022","2,773","131,384",,
"Oct 30, 2022","2,777","131,514",,
"Oct 31, 2022","2,779","131,622",,
"Nov 01, 2022","2,782","131,710",,
"Nov 02, 2022","2,782","131,810",,
"Nov 03, 2022","2,784","132,035",,
"Nov 04, 2022","2,790","132,568",,
"Nov 05, 2022","2,784","132,636",,
"Nov 06, 2022","2,784","127,681",,
"Nov 07, 2022","2,787","132,915",,
"Nov 08, 2022","2,789","133,022",,
"Nov 09, 2022","2,786","128,033",,
"Nov 10, 2022","2,788","128,168",,
"Nov 11, 2022","2,790","133,296",,
"Nov 12, 2022","2,787","133,024",,
"Nov 13, 2022","2,785","115,427",,
"Nov 14, 2022","2,785","115,496",,
"Nov 15, 2022","2,785","115,227",,
"Nov 16, 2022","2,784","115,278",,
"Nov 17, 2022","2,783","115,309",,
"Nov 18, 2022","2,744","115,053",,
"Nov 19, 2022","2,744","115,047",,
"Nov 20, 2022","2,753","115,180",,
"Nov 21, 2022","2,764","113,932",,
"Nov 22, 2022","2,763","115,368",,
"Nov 23, 2022","2,762","113,658",,
"Nov 24, 2022","2,771","115,525",,
"Nov 25, 2022","2,778","115,657",,
"Nov 26, 2022","2,787","115,619",,
"Nov 27, 2022","2,790","115,594",,
"Nov 28, 2022","2,800","115,760",,
"Nov 29, 2022","2,809","116,288",,
"Nov 30, 2022","2,817","116,466",,
"Dec 01, 2022","2,816","120,580",,
"Dec 02, 2022","2,819","121,738",,
"Dec 03, 2022","2,785","134,826",,
"Dec 04, 2022","2,776","135,634",,
"Dec 05, 2022","2,725","122,916",,
"Dec 06, 2022","2,729","137,069",,
"Dec 07, 2022","2,695","134,097",,
"Dec 08, 2022","2,681","136,653",,
"Dec 09, 2022","2,671","136,618",,
"Dec 10, 2022","2,679","131,613",,
"Dec 11, 2022","2,665","109,900",,
"Dec 12, 2022","2,669","125,133",,
"Dec 13, 2022","2,673","122,260",,
"Dec 14, 2022","2,670","111,629",,
"Dec 15, 2022","2,662","108,989",,
"Dec 16, 2022","2,673","121,439",,
"Dec 17, 2022","2,672","112,633",,
"Dec 18, 2022","2,677","110,179",,
"Dec 19, 2022","2,678","114,661",,
"Dec 20, 2022","2,678","111,837",,
"Dec 21, 2022","2,688","113,667",,
"Dec 22, 2022","2,688","118,645",,
"Dec 23, 2022","2,683","111,005",,
"Dec 24, 2022","2,623","102,190",,
"Dec 25, 2022","2,570","111,801",,
"Dec 26, 2022","2,522","120,462",,
"Dec 27, 2022","2,469","110,957",,
"Dec 28, 2022","2,446","110,875",,
"Dec 29, 2022","2,401","111,284",,
"Dec 30, 2022","2,371","114,532",,
"Dec 31, 2022","2,333","107,627",,
"Jan 01, 2023","2,285","91,745",,
"Jan 02, 2023","2,283","124,743",,
"Jan 03, 2023","2,234","125,517",,
"Jan 04, 2023","2,194","100,718",,
"Jan 05, 2023","2,147","97,517",,
"Jan 06, 2023","2,105","85,319",,
"Jan 07, 2023","2,104","85,212",,
"Jan 08, 2023","2,107","85,249",,
"Jan 09, 2023","2,106","85,261",,
"Jan 10, 2023","2,127","116,780",,
"Jan 11, 2023","2,160","128,294",,
"Jan 12, 2023","2,186","130,015",,
"Jan 13, 2023","2,194","131,381",,
"Jan 14, 2023","2,206","133,139",,
"Jan 15, 2023","2,221","135,047",,
"Jan 16, 2023","3,327","159,144",,
"Jan 17, 2023","3,332","159,414",,
"Jan 18, 2023","3,332","154,631",,
"Jan 19, 2023","3,338","155,517",,
"Jan 20, 2023","3,339","155,724",,
"Jan 21, 2023","3,338","169,105",,
"Jan 22, 2023","3,342","169,251",,
"Jan 23, 2023","3,344","169,161",,
"Jan 24, 2023","3,346","169,912",,
"Jan 25, 2023","3,345","170,443",,
"Jan 26, 2023","3,350","176,001",,
"Jan 27, 2023","3,352","176,250",,
"Jan 28, 2023","3,351","171,179",,
"Jan 29, 2023","3,352","171,298",,
"Jan 30, 2023","3,355","171,429",,
"Jan 31, 2023","3,356","171,580",,
"Feb 01, 2023","3,354","171,695",,
"Feb 02, 2023","3,352","171,839",,
"Feb 03, 2023","3,352","171,200",,
"Feb 04, 2023","3,351","171,351",,
"Feb 05, 2023","3,355","171,507",,
"Feb 06, 2023","3,360","176,937",,
"Feb 07, 2023","3,360","177,088",,
"Feb 08, 2023","3,358","171,813",,
"Feb 09, 2023","3,360","172,487",,
"Feb 10, 2023","3,362","172,685",,
"Feb 11, 2023","3,365","172,848",,
"Feb 12, 2023","3,365","173,014",,
"Feb 13, 2023","3,369","178,534",,
"Feb 14, 2023","3,370","178,671",,
"Feb 15, 2023","3,370","173,423",,
"Feb 16, 2023","3,370","173,705",,
"Feb 17, 2023","3,371","173,887",,
"Feb 18, 2023","3,370","174,014",,
"Feb 19, 2023","3,370","174,121",,
"Feb 20, 2023","3,369","174,206",,
"Feb 21, 2023","3,369","174,295",,
"Feb 22, 2023","3,361","174,436",,
"Feb 23, 2023","3,358","174,439",,
"Feb 24, 2023","3,363","177,357",,
"Feb 25, 2023","3,363","177,486",,
"Feb 26, 2023","3,362","177,766",,
"Feb 27, 2023","3,361","178,101",,
"Mar 01, 2023","3,354","178,355",,
"Mar 02, 2023","3,362","179,666",,
"Mar 03, 2023","3,367","179,678",,
"Mar 04, 2023","3,374","186,135",,
"Mar 05, 2023","3,373","186,514",,
"Mar 06, 2023","3,379","181,540",,
"Mar 07, 2023","3,383","181,423",,
"Mar 08, 2023","3,386","182,767",,
"Mar 09, 2023","3,388","189,289",,
