Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 09, 2022",768,"23,349",,
"Aug 10, 2022",972,"29,193",,
"Aug 11, 2022","1,130","48,442",,
"Aug 12, 2022","1,297","56,485",,
"Aug 13, 2022","1,376","57,387",,
"Aug 14, 2022","1,441","80,294",,
"Aug 15, 2022","1,496","87,122",,
"Aug 16, 2022","1,546","87,597",,
"Aug 17, 2022","1,591","89,966",,
"Aug 18, 2022","1,623","92,739",,
"Aug 19, 2022","1,667","94,262",1,175
"Aug 20, 2022","1,679","102,228",1,175
"Aug 21, 2022","1,701","102,778",1,175
"Aug 22, 2022","1,722","104,899",1,175
"Aug 23, 2022","1,741","118,100",1,175
"Aug 24, 2022","1,762","119,647",1,175
"Aug 25, 2022","1,783","121,927",1,175
"Aug 26, 2022","1,802","122,960",1,175
"Aug 27, 2022","1,817","123,557",1,175
"Aug 28, 2022","1,822","120,043",1,175
"Aug 29, 2022","1,828","118,779",1,175
"Aug 30, 2022","1,840","118,966",1,174
"Aug 31, 2022","1,846","123,909",1,174
"Sep 01, 2022","1,857","123,970",1,174
"Sep 02, 2022","1,868","119,177",1,174
"Sep 03, 2022","1,877","119,238",1,174
"Sep 04, 2022","1,888","119,182",1,174
"Sep 05, 2022","1,887","118,860",1,174
"Sep 06, 2022","1,894","123,493",,
"Sep 07, 2022","1,901","123,624",,
"Sep 08, 2022","1,912","118,115",,
"Sep 09, 2022","1,915","118,175",,
"Sep 10, 2022","1,919","118,123",,
"Sep 11, 2022","1,922","117,659",,
"Sep 12, 2022","1,927","117,553",,
"Sep 13, 2022","1,938","118,283",,
"Sep 14, 2022","1,943","118,303",,
"Sep 15, 2022","1,945","118,533",,
"Sep 16, 2022","1,949","100,606",,
"Sep 17, 2022","1,953","100,729",,
"Sep 18, 2022","1,956","100,880",,
"Sep 19, 2022","1,960","101,065",,
"Sep 20, 2022","1,973","103,267",,
"Sep 21, 2022","1,981","103,815",,
"Sep 22, 2022","1,984","103,946",,
"Sep 23, 2022","1,986","104,013",,
"Sep 24, 2022","1,988","104,159",,
"Sep 25, 2022","1,987","104,326",,
"Sep 26, 2022","1,991","104,447",,
"Sep 27, 2022","1,994","104,896",,
"Sep 28, 2022","2,002","104,979",,
"Sep 29, 2022","2,011","105,088",,
"Sep 30, 2022","2,018","106,121",,
"Oct 01, 2022","2,019","106,183",,
"Oct 02, 2022","2,020","106,253",,
"Oct 03, 2022","2,022","106,363",,
"Oct 04, 2022","2,027","106,468",,
"Oct 05, 2022","2,030","106,523",,
"Oct 06, 2022","2,031","106,562",,
"Oct 07, 2022","2,039","115,727",,
"Oct 08, 2022","2,045","120,774",,
"Oct 09, 2022","2,043","111,800",,
"Oct 10, 2022","2,043","106,733",,
"Oct 11, 2022","2,047","106,232",,
"Oct 12, 2022","2,055","106,356",,
"Oct 13, 2022","2,060","106,413",,
"Oct 14, 2022","2,066","160,906",,
"Oct 15, 2022","2,067","161,032",,
"Oct 16, 2022","2,069","161,124",,
"Oct 17, 2022","2,070","108,194",,
"Oct 18, 2022","2,074","108,118",,
"Oct 19, 2022","2,075","108,175",,
"Oct 20, 2022","2,077","108,289",,
"Oct 21, 2022","2,081","108,609",,
"Oct 22, 2022","2,084","112,459",,
"Oct 23, 2022","2,084","112,637",,
"Oct 24, 2022","2,086","109,215",,
"Oct 25, 2022","2,087","109,262",,
"Oct 26, 2022","2,088","109,429",,
"Oct 27, 2022","2,088","109,455",,
"Oct 28, 2022","2,087","109,487",,
"Oct 29, 2022","2,089","109,540",,
