Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 09, 2022",694,"25,481",,
"Aug 10, 2022",888,"29,695",,
"Aug 11, 2022","1,018","32,455",,
"Aug 12, 2022","1,152","53,727",,
"Aug 13, 2022","1,224","59,969",,
"Aug 14, 2022","1,276","61,412",,
"Aug 15, 2022","1,320","52,776",,
"Aug 16, 2022","1,374","56,029",,
"Aug 17, 2022","1,417","70,070",,
"Aug 18, 2022","1,459","73,522",,
"Aug 19, 2022","1,489","68,737",,
"Aug 20, 2022","1,506","77,074",,
"Aug 21, 2022","1,524","71,026",,
"Aug 22, 2022","1,537","71,169",,
"Aug 23, 2022","1,556","71,881",,
"Aug 24, 2022","1,574","73,344",,
"Aug 25, 2022","1,585","73,288",,
"Aug 26, 2022","1,606","74,427",,
"Aug 27, 2022","1,616","74,630",,
"Aug 28, 2022","1,627","74,725",,
"Aug 29, 2022","1,638","74,728",,
"Aug 30, 2022","1,650","74,970",,
"Aug 31, 2022","1,656","74,986",,
"Sep 01, 2022","1,663","74,897",,
"Sep 02, 2022","1,670","74,835",,
"Sep 03, 2022","1,680","74,874",,
"Sep 04, 2022","1,686","74,730",,
"Sep 05, 2022","1,694","74,777",,
"Sep 06, 2022","1,697","74,841",,
"Sep 07, 2022","1,708","74,983",,
"Sep 08, 2022","1,716","75,033",,
"Sep 09, 2022","1,721","75,168",,
"Sep 10, 2022","1,724","75,224",,
"Sep 11, 2022","1,728","74,661",,
"Sep 12, 2022","1,737","74,751",,
"Sep 13, 2022","1,753","71,319",,
"Sep 14, 2022","1,760","71,368",,
"Sep 15, 2022","1,767","66,589",,
"Sep 16, 2022","1,773","78,818",,
"Sep 17, 2022","1,776","78,886",,
"Sep 18, 2022","1,780","78,923",,
"Sep 19, 2022","1,783","79,060",,
"Sep 20, 2022","1,793","85,735",,
"Sep 21, 2022","1,801","86,232",,
"Sep 22, 2022","1,804","86,292",,
"Sep 23, 2022","1,811","86,418",,
"Sep 24, 2022","1,811","86,445",,
"Sep 25, 2022","1,809","86,627",,
"Sep 26, 2022","1,816","86,761",,
"Sep 27, 2022","1,818","87,226",,
"Sep 28, 2022","1,824","87,436",,
"Sep 29, 2022","1,833","87,761",,
"Sep 30, 2022","1,835","88,174",,
"Oct 01, 2022","1,842","88,402",,
"Oct 02, 2022","1,842","88,462",,
"Oct 03, 2022","1,844","88,539",,
"Oct 04, 2022","1,848","88,556",,
"Oct 05, 2022","1,854","88,626",,
"Oct 06, 2022","1,855","88,663",,
"Oct 07, 2022","1,862","89,268",,
"Oct 08, 2022","1,867","89,420",,
"Oct 09, 2022","1,875","98,746",,
"Oct 10, 2022","1,878","98,908",,
"Oct 11, 2022","1,882","89,616",,
"Oct 12, 2022","1,886","89,674",,
"Oct 13, 2022","1,890","89,729",,
"Oct 14, 2022","1,896","83,313",,
"Oct 15, 2022","1,902","83,479",,
"Oct 16, 2022","1,904","83,539",,
"Oct 17, 2022","1,904","83,607",,
"Oct 18, 2022","1,906","83,719",,
"Oct 19, 2022","1,910","80,322",,
"Oct 20, 2022","1,913","80,470",,
"Oct 21, 2022","1,914","80,692",,
"Oct 22, 2022","1,916","81,019",,
"Oct 23, 2022","1,919","81,225",,
"Oct 24, 2022","1,923","81,381",,
"Oct 25, 2022","1,923","81,397",,
"Oct 26, 2022","1,943","83,257",,
"Oct 27, 2022","1,975","89,588",,
"Oct 28, 2022","1,980","89,713",,
"Oct 29, 2022","1,984","89,792",,
"Oct 30, 2022","1,985","89,820",,
"Oct 31, 2022","1,988","89,863",,
"Nov 01, 2022","1,994","89,932",,
"Nov 02, 2022","1,996","89,976",,
"Nov 03, 2022","2,002","91,306",,
"Nov 04, 2022","2,006","91,479",,
"Nov 05, 2022","2,008","91,625",,
"Nov 06, 2022","2,008","92,052",,
"Nov 07, 2022","2,010","92,122",,
"Nov 08, 2022","2,011","92,103",,
"Nov 09, 2022","2,013","92,174",,
"Nov 10, 2022","2,017","92,258",,
"Nov 11, 2022","2,020","92,300",,
"Nov 12, 2022","2,018","92,272",,
"Nov 13, 2022","2,019","92,349",,
"Nov 14, 2022","2,019","92,378",,
"Nov 15, 2022","2,016","92,389",,
"Nov 16, 2022","2,018","92,456",,
"Nov 17, 2022","2,017","92,466",,
"Nov 18, 2022","1,987","92,214",,
"Nov 19, 2022","1,988","92,222",,
"Nov 20, 2022","1,990","92,257",,
"Nov 21, 2022","2,008","92,437",,
"Nov 22, 2022","2,007","92,452",,
"Nov 23, 2022","2,005","92,418",,
"Nov 24, 2022","2,009","93,071",,
"Nov 25, 2022","2,015","93,198",,
"Nov 26, 2022","2,015","93,019",,
"Nov 27, 2022","2,012","92,580",,
"Nov 28, 2022","2,019","92,593",,
"Nov 29, 2022","2,023","93,028",,
"Nov 30, 2022","2,026","93,216",,
"Dec 01, 2022","2,023","93,663",,
"Dec 02, 2022","2,021","92,401",,
"Dec 03, 2022","1,987","110,004",,
"Dec 04, 2022","1,987","112,528",,
"Dec 05, 2022","1,954","103,052",,
"Dec 06, 2022","1,952","113,107",,
"Dec 07, 2022","1,932","111,676",,
"Dec 08, 2022","1,919","110,078",,
"Dec 09, 2022","1,912","110,057",,
"Dec 10, 2022","1,916","108,843",,
"Dec 11, 2022","1,896","88,153",,
"Dec 12, 2022","1,904","106,727",,
"Dec 13, 2022","1,909","107,475",,
"Dec 14, 2022","1,908","96,656",,
"Dec 15, 2022","1,903","96,081",,
"Dec 16, 2022","1,910","105,284",,
"Dec 17, 2022","1,901","90,953",,
"Dec 18, 2022","1,903","94,452",,
"Dec 19, 2022","1,904","97,693",,
"Dec 20, 2022","1,907","97,768",,
"Dec 21, 2022","1,912","99,675",,
"Dec 22, 2022","1,907","98,652",,
"Dec 23, 2022","1,905","95,623",,
"Dec 24, 2022","1,866","94,485",,
"Dec 25, 2022","1,812","99,895",,
"Dec 26, 2022","1,775","106,197",,
"Dec 27, 2022","1,744","104,888",,
"Dec 28, 2022","1,717","97,155",,
"Dec 29, 2022","1,681","102,122",,
"Dec 30, 2022","1,664","96,286",,
"Dec 31, 2022","1,632","92,669",,
"Jan 01, 2023","1,604","85,788",,
"Jan 02, 2023","1,585","98,389",,
"Jan 03, 2023","1,544","98,036",,
"Jan 04, 2023","1,522","82,292",,
"Jan 05, 2023","1,479","78,467",,
"Jan 06, 2023","1,456","78,286",,
"Jan 07, 2023","1,454","78,175",,
"Jan 08, 2023","1,455","78,207",,
"Jan 09, 2023","1,456","78,235",,
"Jan 10, 2023","1,470","97,276",,
"Jan 11, 2023","1,490","104,087",,
"Jan 12, 2023","1,508","105,206",,
"Jan 13, 2023","1,515","106,786",,
"Jan 14, 2023","1,524","107,659",,
"Jan 15, 2023","1,538","108,796",,
"Jan 16, 2023","2,343","122,032",,
"Jan 17, 2023","2,345","122,056",,
"Jan 18, 2023","2,345","122,059",,
"Jan 19, 2023","2,345","122,153",,
"Jan 20, 2023","2,343","122,206",,
"Jan 21, 2023","2,345","122,293",,
"Jan 22, 2023","2,345","109,141",,
"Jan 23, 2023","2,346","109,183",,
"Jan 24, 2023","2,348","109,228",,
"Jan 25, 2023","2,347","109,276",,
"Jan 26, 2023","2,348","109,345",,
"Jan 27, 2023","2,353","109,513",,
