Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 09, 2022",571,"14,289",,
"Aug 10, 2022",709,"15,850",,
"Aug 11, 2022",806,"18,435",,
"Aug 12, 2022",916,"21,730",,
"Aug 13, 2022",978,"22,227",,
"Aug 14, 2022","1,015","23,521",,
"Aug 15, 2022","1,058","24,174",,
"Aug 16, 2022","1,092","24,502",,
"Aug 17, 2022","1,123","24,859",,
"Aug 18, 2022","1,145","28,024",,
"Aug 19, 2022","1,173","28,165",,
"Aug 20, 2022","1,180","26,916",,
"Aug 21, 2022","1,195","27,031",,
"Aug 22, 2022","1,205","28,076",,
"Aug 23, 2022","1,220","28,336",,
"Aug 24, 2022","1,230","29,669",,
"Aug 25, 2022","1,239","30,732",,
"Aug 26, 2022","1,252","32,085",,
"Aug 27, 2022","1,265","32,255",,
"Aug 28, 2022","1,273","32,333",,
"Aug 29, 2022","1,279","31,473",,
"Aug 30, 2022","1,291","31,558",,
"Aug 31, 2022","1,295","31,612",,
"Sep 01, 2022","1,298","31,626",,
"Sep 02, 2022","1,305","31,686",,
"Sep 03, 2022","1,310","31,778",,
"Sep 04, 2022","1,314","31,764",,
"Sep 05, 2022","1,323","31,273",,
"Sep 06, 2022","1,330","31,409",,
"Sep 07, 2022","1,335","31,736",,
"Sep 08, 2022","1,342","31,894",,
"Sep 09, 2022","1,346","32,000",,
"Sep 10, 2022","1,347","32,323",,
"Sep 11, 2022","1,347","31,734",,
"Sep 12, 2022","1,352","35,482",,
"Sep 13, 2022","1,359","35,799",,
"Sep 14, 2022","1,364","36,096",,
"Sep 15, 2022","1,364","36,261",,
"Sep 16, 2022","1,365","36,533",,
"Sep 17, 2022","1,367","36,841",,
"Sep 18, 2022","1,368","37,056",,
"Sep 19, 2022","1,368","37,269",,
"Sep 20, 2022","1,369","36,596",,
"Sep 21, 2022","1,375","37,023",,
"Sep 22, 2022","1,375","37,264",,
"Sep 23, 2022","1,379","37,644",,
"Sep 24, 2022","1,377","37,725",,
"Sep 25, 2022","1,376","37,819",,
