Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 09, 2022","1,273","74,348",,
"Aug 10, 2022","1,650","82,903",,
"Aug 11, 2022","1,927","109,586",,
"Aug 12, 2022","2,252","128,790",1,227
"Aug 13, 2022","2,401","1,246,726",2,"1,113,750"
"Aug 14, 2022","2,545","1,277,405",2,"1,114,150"
"Aug 15, 2022","2,680","1,280,054",2,"1,114,617"
"Aug 16, 2022","2,812","1,332,819",2,"1,115,074"
"Aug 17, 2022","2,907","1,341,175",2,"1,115,537"
"Aug 18, 2022","3,006","1,347,317",2,"1,116,011"
"Aug 19, 2022","3,111","1,351,886",2,"1,116,433"
"Aug 20, 2022","3,163","1,357,889",1,"1,116,741"
"Aug 21, 2022","3,220","1,357,224",1,"1,117,292"
"Aug 22, 2022","3,287","1,361,582",1,"1,117,814"
"Aug 23, 2022","3,334","1,444,846",1,"1,118,275"
"Aug 24, 2022","3,393","1,450,101",1,"1,118,763"
"Aug 25, 2022","3,466","1,452,883",1,"1,119,339"
"Aug 26, 2022","3,544","1,456,166",1,"1,119,848"
"Aug 27, 2022","3,590","1,463,022",1,"1,120,460"
"Aug 28, 2022","3,619","1,460,412",1,"1,120,894"
"Aug 29, 2022","3,644","1,461,487",1,"1,121,336"
"Aug 30, 2022","3,675","1,466,859",1,"1,121,834"
"Aug 31, 2022","3,700","1,468,654",1,"1,122,232"
"Sep 01, 2022","3,719","1,481,315",1,"1,122,738"
"Sep 02, 2022","3,749","1,476,256",1,"1,123,188"
"Sep 03, 2022","3,772","1,477,494",1,"1,123,688"
"Sep 04, 2022","3,786","1,463,611",1,"1,124,070"
"Sep 05, 2022","3,809","1,477,453",1,"1,124,386"
"Sep 06, 2022","3,827","1,479,194",1,"1,124,660"
"Sep 07, 2022","3,855","1,482,406",1,"1,124,926"
"Sep 08, 2022","3,879","1,406,380",1,"1,125,267"
"Sep 09, 2022","3,903","1,404,657",1,"1,125,534"
"Sep 10, 2022","3,918","1,406,269",1,"1,125,858"
"Sep 11, 2022","3,941","1,407,602",1,"1,126,167"
"Sep 12, 2022","3,965","1,379,536",1,"1,126,438"
"Sep 13, 2022","3,995","1,380,597",1,"1,126,702"
"Sep 14, 2022","4,010","1,383,969",1,"1,127,015"
"Sep 15, 2022","4,028","1,386,302",1,"1,127,367"
"Sep 16, 2022","4,048","1,382,303",1,"1,127,661"
"Sep 17, 2022","4,063","1,388,290",1,"1,128,005"
"Sep 18, 2022","4,082","1,388,732",1,"1,128,317"
"Sep 19, 2022","4,094","1,389,747",1,"1,128,578"
"Sep 20, 2022","4,114","1,390,951",1,"1,128,849"
"Sep 21, 2022","4,144","1,387,252",1,"1,129,138"
"Sep 22, 2022","4,156","1,393,097",1,"1,129,380"
"Sep 23, 2022","4,165","1,394,022",1,"1,129,683"
"Sep 24, 2022","4,166","1,395,023",1,"1,129,963"
"Sep 25, 2022","4,170","1,396,194",1,"1,130,206"
"Sep 26, 2022","4,182","1,398,281",1,"1,130,466"
"Sep 27, 2022","4,193","1,399,448",1,"1,130,734"
"Sep 28, 2022","4,209","1,398,560",1,"1,131,071"
"Sep 29, 2022","4,218","1,394,229",1,"1,131,322"
"Sep 30, 2022","4,238","1,430,360",1,"1,131,648"
"Oct 01, 2022","4,242","1,440,490",1,"1,131,865"
"Oct 02, 2022","4,246","1,443,282",1,"1,132,044"
"Oct 03, 2022","4,255","1,433,899",1,"1,132,236"
"Oct 04, 2022","4,264","1,439,380",1,"1,132,412"
"Oct 05, 2022","4,273","1,438,991",1,"1,132,636"
"Oct 06, 2022","4,277","1,434,415",1,"1,132,819"
"Oct 07, 2022","4,291","1,446,636",1,"1,133,028"
"Oct 08, 2022","4,310","1,452,594",1,"1,133,231"
"Oct 09, 2022","4,316","1,454,633",1,"1,133,372"
"Oct 10, 2022","4,324","1,459,787",1,"1,133,525"
"Oct 11, 2022","4,334","1,444,704",1,"1,133,720"
"Oct 12, 2022","4,336","1,437,239",1,"1,133,912"
"Oct 13, 2022","4,346","1,438,186",1,"1,134,104"
"Oct 14, 2022","4,348","1,436,462",1,"1,134,271"
"Oct 15, 2022","4,355","1,493,014",1,"1,134,471"
"Oct 16, 2022","4,364","1,493,665",1,"1,134,684"
"Oct 17, 2022","4,369","1,441,259",1,"1,134,841"
"Oct 18, 2022","4,378","1,441,673",1,"1,135,009"
"Oct 19, 2022","4,387","1,442,117",1,"1,135,151"
"Oct 20, 2022","4,393","1,453,444",1,"1,135,326"
"Oct 21, 2022","4,402","1,450,682",1,"1,135,486"
"Oct 22, 2022","4,413","1,451,519",1,"1,135,644"
"Oct 23, 2022","4,425","1,453,734",1,"1,135,809"
"Oct 24, 2022","4,438","1,460,454",1,"1,135,946"
"Oct 25, 2022","4,446","1,460,790",1,"1,136,078"
"Oct 26, 2022","4,447","1,460,022",1,"1,136,270"
"Oct 27, 2022","4,451","1,455,889",1,"1,136,483"
"Oct 28, 2022","4,458","1,456,521",1,"1,136,709"
"Oct 29, 2022","4,459","1,457,063",1,"1,136,933"
"Oct 30, 2022","4,459","317,489",,
"Oct 31, 2022","4,465","317,693",,
"Nov 01, 2022","4,473","318,256",,
"Nov 02, 2022","4,475","305,746",,
"Nov 03, 2022","4,477","312,335",,
"Nov 04, 2022","4,488","312,735",,
"Nov 05, 2022","4,485","311,632",,
"Nov 06, 2022","4,491","312,015",,
"Nov 07, 2022","4,490","313,506",,
"Nov 08, 2022","4,491","308,414",,
"Nov 09, 2022","4,483","307,057",,
"Nov 10, 2022","4,482","307,187",,
