"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",4007856,9825
"2023-05-13 00:00:00",3998031,9560
"2023-05-12 00:00:00",3988471,0
"2023-05-11 00:00:00",3988471,19942
"2023-05-10 00:00:00",3968529,9561
"2023-05-09 00:00:00",3958968,0
"2023-05-08 00:00:00",3958968,16492
"2023-05-07 00:00:00",3942476,9748
"2023-05-06 00:00:00",3932728,0
"2023-05-05 00:00:00",3932728,20238
"2023-05-04 00:00:00",3912490,10534
"2023-05-03 00:00:00",3901956,10649
"2023-05-02 00:00:00",3891307,0
"2023-05-01 00:00:00",3891307,16991
"2023-04-30 00:00:00",3874316,10515
"2023-04-29 00:00:00",3863801,10671
"2023-04-28 00:00:00",3853130,10671
"2023-04-27 00:00:00",3842459,10561
"2023-04-26 00:00:00",3831898,10458
"2023-04-25 00:00:00",3821440,8583
"2023-04-24 00:00:00",3812857,9545
"2023-04-23 00:00:00",3803312,10988
"2023-04-22 00:00:00",3792324,11649
"2023-04-21 00:00:00",3780675,11081
"2023-04-20 00:00:00",3769594,11307
"2023-04-19 00:00:00",3758287,9747
"2023-04-18 00:00:00",3748540,9747
"2023-04-17 00:00:00",3738793,9278
"2023-04-16 00:00:00",3729515,10486
"2023-04-15 00:00:00",3719029,0
"2023-04-14 00:00:00",3719029,10490
"2023-04-13 00:00:00",3708539,20423
"2023-04-12 00:00:00",3688116,9025
"2023-04-11 00:00:00",3679091,7544
"2023-04-10 00:00:00",3671547,8633
"2023-04-09 00:00:00",3662914,9081
"2023-04-08 00:00:00",3653833,9804
"2023-04-07 00:00:00",3644029,0
"2023-04-06 00:00:00",3644029,19280
"2023-04-05 00:00:00",3624749,9567
"2023-04-04 00:00:00",3615182,8396
"2023-04-03 00:00:00",3606786,9153
"2023-04-02 00:00:00",3597633,10520
"2023-04-01 00:00:00",3587113,10669
"2023-03-31 00:00:00",3576444,10440
"2023-03-30 00:00:00",3566004,10217
"2023-03-29 00:00:00",3555787,10024
"2023-03-28 00:00:00",3545763,8565
"2023-03-27 00:00:00",3537198,9019
"2023-03-26 00:00:00",3528179,10627
"2023-03-25 00:00:00",3517552,10888
"2023-03-24 00:00:00",3506664,0
"2023-03-23 00:00:00",3506664,21342
"2023-03-22 00:00:00",3485322,10614
"2023-03-21 00:00:00",3474708,9264
"2023-03-20 00:00:00",3465444,0
"2023-03-19 00:00:00",3465444,20635
"2023-03-18 00:00:00",3444809,10631
"2023-03-17 00:00:00",3434178,10463
"2023-03-16 00:00:00",3423715,10416
"2023-03-15 00:00:00",3413299,10219
"2023-03-14 00:00:00",3403080,9262
"2023-03-13 00:00:00",3393818,0
"2023-03-12 00:00:00",3393818,10069
"2023-03-11 00:00:00",3383749,22612
"2023-03-10 00:00:00",3361137,11598
"2023-03-09 00:00:00",3349539,11833
"2023-03-08 00:00:00",3337706,12092
"2023-03-07 00:00:00",3325614,9974
"2023-03-06 00:00:00",3315640,11101
"2023-03-05 00:00:00",3304539,0
"2023-03-04 00:00:00",3304539,26738
"2023-03-03 00:00:00",3277801,13683
"2023-03-02 00:00:00",3264118,13729
"2023-03-01 00:00:00",3250389,13286
"2023-02-28 00:00:00",3237103,11429
"2023-02-27 00:00:00",3225674,12565
"2023-02-26 00:00:00",3213109,12324
"2023-02-25 00:00:00",3200785,12643
"2023-02-24 00:00:00",3188142,12476
"2023-02-23 00:00:00",3175666,12670
"2023-02-22 00:00:00",3162996,11033
"2023-02-21 00:00:00",3151963,10246
"2023-02-20 00:00:00",3141717,11193
"2023-02-19 00:00:00",3130524,13027
"2023-02-18 00:00:00",3117497,13077
"2023-02-17 00:00:00",3104420,12503
"2023-02-16 00:00:00",3091917,12868
"2023-02-15 00:00:00",3079049,11773
"2023-02-14 00:00:00",3067276,10219
"2023-02-13 00:00:00",3057057,11006
"2023-02-12 00:00:00",3046051,12868
"2023-02-11 00:00:00",3033183,13246
"2023-02-10 00:00:00",3019937,12876
"2023-02-09 00:00:00",3007061,12828
"2023-02-08 00:00:00",2994233,13109
"2023-02-07 00:00:00",2981124,10644
"2023-02-06 00:00:00",2970480,11429
"2023-02-05 00:00:00",2959051,13117
"2023-02-04 00:00:00",2945934,12863
"2023-02-03 00:00:00",2933071,0
"2023-02-02 00:00:00",2933071,25538
"2023-02-01 00:00:00",2907533,12516
"2023-01-31 00:00:00",2895017,10267
"2023-01-30 00:00:00",2884750,11746
"2023-01-29 00:00:00",2873004,13161
"2023-01-28 00:00:00",2859843,13110
"2023-01-27 00:00:00",2846733,13725
"2023-01-26 00:00:00",2833008,0
"2023-01-25 00:00:00",2833008,27694
"2023-01-24 00:00:00",2805314,11554
"2023-01-23 00:00:00",2793760,12290
"2023-01-22 00:00:00",2781470,14083
"2023-01-21 00:00:00",2767387,14613
"2023-01-20 00:00:00",2752774,14249
"2023-01-19 00:00:00",2738525,14642
"2023-01-18 00:00:00",2723883,12346
"2023-01-17 00:00:00",2711537,11686
"2023-01-16 00:00:00",2699851,11871
"2023-01-15 00:00:00",2687980,14725
"2023-01-14 00:00:00",2673255,14874
"2023-01-13 00:00:00",2658381,15023
"2023-01-12 00:00:00",2643358,15970
"2023-01-11 00:00:00",2627388,15284
"2023-01-10 00:00:00",2612104,12175
"2023-01-09 00:00:00",2599929,13186
"2023-01-08 00:00:00",2586743,15590
"2023-01-07 00:00:00",2571153,14903
"2023-01-06 00:00:00",2556250,13786
"2023-01-05 00:00:00",2542464,13126
"2023-01-04 00:00:00",2529338,11983
"2023-01-03 00:00:00",2517355,10758
"2023-01-02 00:00:00",2506597,11868
"2023-01-01 00:00:00",2494729,11934
"2022-12-31 00:00:00",2482795,12631
"2022-12-30 00:00:00",2470164,12488
"2022-12-29 00:00:00",2457676,12169
"2022-12-28 00:00:00",2445507,11083
"2022-12-27 00:00:00",2434424,9910
"2022-12-26 00:00:00",2424514,11977
"2022-12-25 00:00:00",2412537,12791
"2022-12-24 00:00:00",2399746,13508
"2022-12-23 00:00:00",2386238,13970
"2022-12-22 00:00:00",2372268,14107
"2022-12-21 00:00:00",2358161,13891
"2022-12-20 00:00:00",2344270,12449
"2022-12-19 00:00:00",2331821,0
"2022-12-18 00:00:00",2331821,28389
"2022-12-17 00:00:00",2303432,14550
"2022-12-16 00:00:00",2288882,0
"2022-12-15 00:00:00",2288882,29490
