Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 10, 2022",735,"57,868",,
"Aug 11, 2022",830,"141,412",,
"Aug 12, 2022",949,"149,380",,
"Aug 13, 2022",996,"138,138",,
"Aug 14, 2022","1,039","140,624",,
"Aug 15, 2022","1,093","136,602",,
"Aug 16, 2022","1,128","137,514",,
"Aug 17, 2022","1,158","137,747",,
"Aug 18, 2022","1,185","140,846",,
"Aug 19, 2022","1,210","141,023",,
"Aug 20, 2022","1,220","149,210",,
"Aug 21, 2022","1,238","149,375",,
"Aug 22, 2022","1,251","150,199",,
"Aug 23, 2022","1,260","150,155",,
"Aug 24, 2022","1,272","151,494",,
"Aug 25, 2022","1,279","151,561",,
"Aug 26, 2022","1,290","151,889",,
"Aug 27, 2022","1,307","152,162",,
"Aug 28, 2022","1,317","152,229",,
"Aug 29, 2022","1,324","151,327",,
"Aug 30, 2022","1,331","151,427",,
"Aug 31, 2022","1,336","151,456",,
"Sep 01, 2022","1,341","151,465",,
"Sep 02, 2022","1,349","151,342",,
"Sep 03, 2022","1,349","151,388",,
"Sep 04, 2022","1,357","151,397",,
"Sep 05, 2022","1,360","151,445",,
"Sep 06, 2022","1,364","151,492",,
"Sep 07, 2022","1,366","151,531",,
"Sep 08, 2022","1,370","66,018",,
"Sep 09, 2022","1,372","66,577",,
"Sep 10, 2022","1,373","66,877",,
"Sep 11, 2022","1,375","66,345",,
"Sep 12, 2022","1,380","66,426",,
"Sep 13, 2022","1,390","66,576",,
"Sep 14, 2022","1,397","67,324",,
"Sep 15, 2022","1,398","67,361",,
"Sep 16, 2022","1,402","67,382",,
"Sep 17, 2022","1,404","67,387",,
"Sep 18, 2022","1,408","67,489",,
"Sep 19, 2022","1,413","70,418",,
"Sep 20, 2022","1,417","70,335",,
"Sep 21, 2022","1,417","69,917",,
"Sep 22, 2022","1,420","69,956",,
"Sep 23, 2022","1,422","70,030",,
"Sep 24, 2022","1,423","70,082",,
"Sep 25, 2022","1,424","70,199",,
"Sep 26, 2022","1,428","70,281",,
"Sep 27, 2022","1,430","70,663",,
"Sep 28, 2022","1,435","70,701",,
"Sep 29, 2022","1,439","70,770",,
"Sep 30, 2022","1,444","71,175",,
"Oct 01, 2022","1,448","71,236",,
"Oct 02, 2022","1,451","71,255",,
"Oct 03, 2022","1,453","71,332",,
"Oct 04, 2022","1,457","71,393",,
"Oct 05, 2022","1,460","71,416",,
"Oct 06, 2022","1,461","71,310",,
"Oct 07, 2022","1,463","71,364",,
"Oct 08, 2022","1,464","71,404",,
"Oct 09, 2022","1,464","71,449",,
"Oct 10, 2022","1,466","71,186",,
"Oct 11, 2022","1,466","71,222",,
"Oct 12, 2022","1,466","71,264",,
"Oct 13, 2022","1,468","71,283",,
"Oct 14, 2022","1,471","71,326",,
"Oct 15, 2022","1,473","71,419",,
"Oct 16, 2022","1,469","71,404",,
"Oct 17, 2022","1,469","71,472",,
"Oct 18, 2022","1,472","71,541",,
"Oct 19, 2022","1,474","71,597",,
"Oct 20, 2022","1,475","71,721",,
"Oct 21, 2022","1,479","72,128",,
"Oct 22, 2022","1,480","72,223",,
"Oct 23, 2022","1,481","72,342",,
"Oct 24, 2022","1,482","72,422",,
"Oct 25, 2022","1,484","72,470",,
"Oct 26, 2022","1,486","72,537",,
"Oct 27, 2022","1,485","72,578",,
"Oct 28, 2022","1,486","72,591",,
"Oct 29, 2022","1,487","72,613",,
