Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 27, 2022",1,"348,719",1,"348,719"
"Oct 28, 2022",494,"16,653,278",4,"4,481,911"
"Oct 29, 2022",652,"20,787,626",6,"7,586,977"
"Oct 30, 2022",743,"20,905,441",6,"7,588,747"
"Oct 31, 2022",838,"21,773,456",7,"8,440,002"
"Nov 01, 2022",902,"22,051,947",7,"8,441,972"
"Nov 02, 2022",972,"22,065,427",7,"8,443,903"
"Nov 03, 2022","1,013","22,067,067",7,"8,445,639"
"Nov 04, 2022","1,087","21,648,378",9,"10,707,248"
"Nov 05, 2022","1,094","14,313,420",9,"10,710,121"
"Nov 06, 2022","1,112","14,306,929",9,"10,713,357"
"Nov 07, 2022","1,131","14,289,434",9,"10,716,485"
"Nov 08, 2022","1,153","14,292,755",9,"10,719,295"
"Nov 09, 2022","1,171","13,860,346",9,"10,722,079"
"Nov 10, 2022","1,189","13,015,033",8,"9,874,119"
"Nov 11, 2022","1,202","13,033,645",8,"9,876,736"
"Nov 12, 2022","1,185","8,255,747",5,"5,099,228"
"Nov 13, 2022","1,171","8,068,029",5,"5,099,928"
"Nov 14, 2022","1,182","8,068,546",5,"5,100,422"
"Nov 15, 2022","1,184","8,069,390",5,"5,100,962"
"Nov 16, 2022","1,181","7,844,770",5,"5,101,598"
"Nov 17, 2022","1,174","7,844,521",5,"5,102,228"
"Nov 18, 2022","1,117","7,842,969",5,"5,101,865"
"Nov 19, 2022","1,114","7,843,680",5,"5,101,179"
"Nov 20, 2022","1,124","7,802,775",5,"5,100,927"
"Nov 21, 2022","1,140","7,803,216",5,"5,101,566"
"Nov 22, 2022","1,165","7,803,898",5,"5,101,954"
"Nov 23, 2022","1,171","7,805,025",5,"5,103,025"
"Nov 24, 2022","1,195","7,809,692",5,"5,105,379"
"Nov 25, 2022","1,210","7,813,191",5,"5,107,296"
"Nov 26, 2022","1,217","7,700,434",4,"4,992,643"
"Nov 27, 2022","1,211","7,585,500",4,"4,993,454"
"Nov 28, 2022","1,228","7,567,178",4,"4,994,086"
"Nov 29, 2022","1,240","7,589,344",4,"4,994,556"
"Nov 30, 2022","1,249","7,595,577",4,"4,995,086"
"Dec 01, 2022","1,261","7,595,780",4,"4,995,502"
"Dec 02, 2022","1,271","7,617,646",4,"4,996,154"
"Dec 03, 2022","1,259","7,620,602",4,"4,996,467"
"Dec 04, 2022","1,257","5,871,041",4,"4,997,082"
"Dec 05, 2022","1,256","5,850,127",4,"4,997,539"
"Dec 06, 2022","1,264","5,872,106",4,"4,997,755"
"Dec 07, 2022","1,257","5,871,626",4,"4,998,694"
"Dec 08, 2022","1,248","5,869,820",4,"4,999,509"
"Dec 09, 2022","1,242","5,869,761",4,"4,999,509"
"Dec 10, 2022","1,247","2,572,030",2,"1,679,241"
"Dec 11, 2022","1,260","2,582,280",2,"1,679,527"
"Dec 12, 2022","1,275","2,579,936",2,"1,679,887"
"Dec 13, 2022","1,286","2,579,900",2,"1,680,176"
"Dec 14, 2022","1,297","2,543,688",2,"1,680,554"
"Dec 15, 2022","1,304","2,548,309",2,"1,681,113"
"Dec 16, 2022","1,314","2,525,975",2,"1,681,634"
"Dec 17, 2022","1,318","2,116,093",1,"1,271,508"
"Dec 18, 2022","1,329","2,117,916",1,"1,271,871"
"Dec 19, 2022","1,341","2,120,620",1,"1,272,183"
"Dec 20, 2022","1,346","2,150,304",1,"1,272,494"
"Dec 21, 2022","1,348","2,146,872",1,"1,272,753"
"Dec 22, 2022","1,352","2,148,061",1,"1,273,303"
"Dec 23, 2022","1,348","872,367",,
"Dec 24, 2022","1,332","868,211",,
"Dec 25, 2022","1,305","869,863",,
"Dec 26, 2022","1,289","871,011",,
"Dec 27, 2022","1,269","870,356",,
"Dec 28, 2022","1,250","871,913",,
"Dec 29, 2022","1,228","867,635",,
"Dec 30, 2022","1,215","856,679",,
"Dec 31, 2022","1,208","869,828",,
"Jan 01, 2023","1,196","859,780",,
"Jan 02, 2023","1,193","865,997",,
"Jan 03, 2023","1,182","865,015",,
"Jan 04, 2023","1,165","823,390",,
"Jan 05, 2023","1,137","846,278",,
"Jan 06, 2023","1,115","843,030",,
"Jan 07, 2023","1,115","842,659",,
"Jan 08, 2023","1,116","842,646",,
"Jan 09, 2023","1,117","845,618",,
"Jan 10, 2023","1,129","859,997",,
"Jan 11, 2023","1,148","866,759",,
"Jan 12, 2023","1,157","867,209",,
"Jan 13, 2023","1,166","868,087",,
"Jan 14, 2023","1,168","868,188",,
"Jan 15, 2023","1,177","850,217",,
"Jan 16, 2023","1,720","867,724",,
"Jan 17, 2023","1,720","867,695",,
"Jan 18, 2023","1,719","864,046",,
"Jan 19, 2023","1,719","861,371",,
"Jan 20, 2023","1,719","861,650",,
"Jan 21, 2023","1,718","856,790",,
"Jan 22, 2023","1,721","857,193",,
"Jan 23, 2023","1,715","856,144",,
"Jan 24, 2023","1,715","856,383",,
"Jan 25, 2023","1,716","856,631",,
"Jan 26, 2023","1,713","856,763",,
"Jan 27, 2023","1,716","857,178",,
"Jan 28, 2023","1,711","840,584",,
"Jan 29, 2023","1,713","841,073",,
"Jan 30, 2023","1,708","840,681",,
"Jan 31, 2023","1,711","841,961",,
"Feb 01, 2023","1,708","824,881",,
"Feb 02, 2023","1,710","828,332",,
"Feb 03, 2023","1,710","830,764",,
"Feb 04, 2023","1,706","828,414",,
"Feb 05, 2023","1,707","828,546",,
"Feb 06, 2023","1,702","828,580",,
"Feb 07, 2023","1,703","828,770",,
"Feb 08, 2023","1,701","828,919",,
"Feb 09, 2023","1,703","829,110",,
"Feb 10, 2023","1,706","829,743",,
"Feb 11, 2023","1,704","829,903",,
"Feb 12, 2023","1,704","830,059",,
"Feb 13, 2023","1,704","829,700",,
