"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",6028417,12660
"2023-05-14 00:00:00",6015758,12660
"2023-05-13 00:00:00",6003098,29329
"2023-05-12 00:00:00",5973769,12386
"2023-05-11 00:00:00",5961383,11933
"2023-05-10 00:00:00",5949450,11291
"2023-05-09 00:00:00",5938159,10290
"2023-05-08 00:00:00",5927869,11711
"2023-05-07 00:00:00",5916158,12699
"2023-05-06 00:00:00",5903459,12563
"2023-05-05 00:00:00",5890896,12757
"2023-05-04 00:00:00",5878139,11891
"2023-05-03 00:00:00",5866248,11599
"2023-05-02 00:00:00",5854649,11599
"2023-05-01 00:00:00",5843050,11599
"2023-04-30 00:00:00",5831451,13148
"2023-04-29 00:00:00",5818303,12402
"2023-04-28 00:00:00",5805901,5889
"2023-04-27 00:00:00",5800013,5889
"2023-04-26 00:00:00",5794124,16397
"2023-04-25 00:00:00",5777727,16397
"2023-04-24 00:00:00",5761330,5663
"2023-04-23 00:00:00",5755668,5663
"2023-04-22 00:00:00",5750005,27031
"2023-04-21 00:00:00",5722974,13150
"2023-04-20 00:00:00",5709824,13367
"2023-04-19 00:00:00",5696457,12574
"2023-04-18 00:00:00",5683883,0
"2023-04-17 00:00:00",5683883,23653
"2023-04-16 00:00:00",5660230,13643
"2023-04-15 00:00:00",5646587,13739
"2023-04-14 00:00:00",5632848,0
"2023-04-13 00:00:00",5632848,28777
"2023-04-12 00:00:00",5604071,13985
"2023-04-11 00:00:00",5590086,12026
"2023-04-10 00:00:00",5578060,13600
"2023-04-09 00:00:00",5564460,0
"2023-04-08 00:00:00",5564460,30527
"2023-04-07 00:00:00",5533933,15562
"2023-04-06 00:00:00",5518371,15980
"2023-04-05 00:00:00",5502391,15769
"2023-04-04 00:00:00",5486622,0
"2023-04-03 00:00:00",5486622,29561
"2023-04-02 00:00:00",5457061,16825
"2023-04-01 00:00:00",5440236,0
"2023-03-31 00:00:00",5440236,33976
"2023-03-30 00:00:00",5406260,16376
"2023-03-29 00:00:00",5389884,16153
"2023-03-28 00:00:00",5373731,14609
"2023-03-27 00:00:00",5359122,15849
"2023-03-26 00:00:00",5343273,17731
"2023-03-25 00:00:00",5325542,16550
"2023-03-24 00:00:00",5308992,15869
"2023-03-23 00:00:00",5293123,15814
