Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 28, 2022",2,"6,388",,
"Oct 29, 2022",149,"43,712",,
"Oct 30, 2022",177,"43,932",,
"Oct 31, 2022",200,"44,425",,
"Nov 01, 2022",218,"44,688",,
"Nov 02, 2022",233,"44,801",,
"Nov 03, 2022",245,"44,879",,
"Nov 04, 2022",255,"38,597",,
"Nov 05, 2022",260,"39,136",,
"Nov 06, 2022",268,"39,189",,
"Nov 07, 2022",272,"39,221",,
"Nov 08, 2022",275,"39,322",,
"Nov 09, 2022",279,"40,122",,
"Nov 10, 2022",284,"40,142",,
"Nov 11, 2022",287,"40,326",,
"Nov 12, 2022",290,"40,346",,
"Nov 13, 2022",290,"40,346",,
"Nov 14, 2022",291,"40,357",,
"Nov 15, 2022",290,"40,351",,
"Nov 16, 2022",288,"40,348",,
"Nov 17, 2022",286,"40,367",,
"Nov 18, 2022",275,"40,244",,
"Nov 19, 2022",276,"40,244",,
"Nov 20, 2022",277,"40,249",,
"Nov 21, 2022",279,"40,136",,
"Nov 22, 2022",283,"40,166",,
"Nov 23, 2022",282,"40,004",,
"Nov 24, 2022",286,"40,033",,
"Nov 25, 2022",288,"40,046",,
"Nov 26, 2022",288,"40,046",,
"Nov 27, 2022",288,"40,048",,
"Nov 28, 2022",290,"40,616",,
"Nov 29, 2022",293,"40,635",,
"Nov 30, 2022",292,"40,624",,
"Dec 01, 2022",297,"40,642",,
"Dec 02, 2022",298,"40,647",,
"Dec 03, 2022",298,"40,812",,
"Dec 04, 2022",297,"40,209",,
"Dec 05, 2022",298,"40,369",,
"Dec 06, 2022",298,"40,403",,
"Dec 07, 2022",293,"40,346",,
"Dec 08, 2022",292,"40,473",,
"Dec 09, 2022",288,"40,465",,
"Dec 10, 2022",289,"41,848",,
"Dec 11, 2022",292,"41,918",,
"Dec 12, 2022",295,"41,963",,
"Dec 13, 2022",294,"41,706",,
"Dec 14, 2022",300,"47,070",,
