"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",1053638,1862
"2023-05-14 00:00:00",1051777,1862
"2023-05-13 00:00:00",1049915,4478
"2023-05-12 00:00:00",1045437,2024
"2023-05-11 00:00:00",1043413,2076
"2023-05-10 00:00:00",1041337,1991
"2023-05-09 00:00:00",1039346,1661
"2023-05-08 00:00:00",1037685,1892
"2023-05-07 00:00:00",1035793,2095
"2023-05-06 00:00:00",1033698,2041
"2023-05-05 00:00:00",1031657,2146
"2023-05-04 00:00:00",1029511,2108
"2023-05-03 00:00:00",1027403,1838
"2023-05-02 00:00:00",1025565,1838
"2023-05-01 00:00:00",1023728,1838
"2023-04-30 00:00:00",1021890,2054
"2023-04-29 00:00:00",1019836,2097
"2023-04-28 00:00:00",1017739,1021
"2023-04-27 00:00:00",1016718,1021
"2023-04-26 00:00:00",1015697,2900
"2023-04-25 00:00:00",1012797,2900
"2023-04-24 00:00:00",1009897,966
"2023-04-23 00:00:00",1008932,966
"2023-04-22 00:00:00",1007966,4296
"2023-04-21 00:00:00",1003670,2055
"2023-04-20 00:00:00",1001615,2096
"2023-04-19 00:00:00",999519,2000
"2023-04-18 00:00:00",997519,0
"2023-04-17 00:00:00",997519,3937
"2023-04-16 00:00:00",993582,2239
"2023-04-15 00:00:00",991343,2233
"2023-04-14 00:00:00",989110,0
"2023-04-13 00:00:00",989110,4482
"2023-04-12 00:00:00",984628,2107
"2023-04-11 00:00:00",982521,1836
"2023-04-10 00:00:00",980685,2081
"2023-04-09 00:00:00",978604,0
"2023-04-08 00:00:00",978604,4645
"2023-04-07 00:00:00",973959,2364
"2023-04-06 00:00:00",971595,2311
"2023-04-05 00:00:00",969284,2294
"2023-04-04 00:00:00",966990,0
"2023-04-03 00:00:00",966990,4196
"2023-04-02 00:00:00",962794,2459
"2023-04-01 00:00:00",960335,0
"2023-03-31 00:00:00",960335,4842
"2023-03-30 00:00:00",955493,2312
"2023-03-29 00:00:00",953181,2392
"2023-03-28 00:00:00",950789,2236
"2023-03-27 00:00:00",948553,2274
"2023-03-26 00:00:00",946279,2601
"2023-03-25 00:00:00",943678,2829
"2023-03-24 00:00:00",940849,2585
"2023-03-23 00:00:00",938264,2662
"2023-03-22 00:00:00",935602,2581
"2023-03-21 00:00:00",933021,2260
"2023-03-20 00:00:00",930761,0
"2023-03-19 00:00:00",930761,5241
"2023-03-18 00:00:00",925520,2497
