"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",1082221,1908
"2023-05-14 00:00:00",1080313,1908
"2023-05-13 00:00:00",1078405,4363
"2023-05-12 00:00:00",1074042,2043
"2023-05-11 00:00:00",1071999,2030
"2023-05-10 00:00:00",1069969,1849
"2023-05-09 00:00:00",1068120,1710
"2023-05-08 00:00:00",1066410,1919
"2023-05-07 00:00:00",1064491,2077
"2023-05-06 00:00:00",1062414,2055
"2023-05-05 00:00:00",1060359,2262
"2023-05-04 00:00:00",1058097,1952
"2023-05-03 00:00:00",1056145,1930
"2023-05-02 00:00:00",1054215,1930
"2023-05-01 00:00:00",1052285,1930
"2023-04-30 00:00:00",1050355,2186
"2023-04-29 00:00:00",1048169,2246
"2023-04-28 00:00:00",1045923,1109
"2023-04-27 00:00:00",1044815,1109
"2023-04-26 00:00:00",1043706,3061
"2023-04-25 00:00:00",1040645,3061
"2023-04-24 00:00:00",1037584,1045
"2023-04-23 00:00:00",1036540,1045
"2023-04-22 00:00:00",1035495,4797
"2023-04-21 00:00:00",1030698,2107
"2023-04-20 00:00:00",1028591,2136
"2023-04-19 00:00:00",1026455,2102
"2023-04-18 00:00:00",1024353,0
"2023-04-17 00:00:00",1024353,3952
"2023-04-16 00:00:00",1020401,2414
"2023-04-15 00:00:00",1017987,2326
"2023-04-14 00:00:00",1015661,0
"2023-04-13 00:00:00",1015661,4516
"2023-04-12 00:00:00",1011145,2107
"2023-04-11 00:00:00",1009038,1874
"2023-04-10 00:00:00",1007164,2084
"2023-04-09 00:00:00",1005080,0
"2023-04-08 00:00:00",1005080,4676
"2023-04-07 00:00:00",1000404,2320
"2023-04-06 00:00:00",998084,2267
"2023-04-05 00:00:00",995817,2204
"2023-04-04 00:00:00",993613,0
"2023-04-03 00:00:00",993613,4228
"2023-04-02 00:00:00",989385,2386
"2023-04-01 00:00:00",986999,0
"2023-03-31 00:00:00",986999,5039
"2023-03-30 00:00:00",981960,2369
"2023-03-29 00:00:00",979591,2330
"2023-03-28 00:00:00",977261,2187
"2023-03-27 00:00:00",975074,2350
"2023-03-26 00:00:00",972724,2652
"2023-03-25 00:00:00",970072,2607
"2023-03-24 00:00:00",967465,2564
"2023-03-23 00:00:00",964901,2628
