"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",2356968,5691
"2023-05-14 00:00:00",2351277,5691
"2023-05-13 00:00:00",2345586,13092
"2023-05-12 00:00:00",2332494,6246
"2023-05-11 00:00:00",2326248,6029
"2023-05-10 00:00:00",2320219,5837
"2023-05-09 00:00:00",2314382,5104
"2023-05-08 00:00:00",2309278,5831
"2023-05-07 00:00:00",2303447,6473
"2023-05-06 00:00:00",2296974,6108
"2023-05-05 00:00:00",2290866,6162
"2023-05-04 00:00:00",2284704,5844
"2023-05-03 00:00:00",2278860,5709
"2023-05-02 00:00:00",2273151,5709
"2023-05-01 00:00:00",2267442,5709
"2023-04-30 00:00:00",2261733,6497
"2023-04-29 00:00:00",2255236,6530
"2023-04-28 00:00:00",2248706,3136
"2023-04-27 00:00:00",2245570,3136
"2023-04-26 00:00:00",2242434,8670
"2023-04-25 00:00:00",2233764,8670
"2023-04-24 00:00:00",2225094,3035
"2023-04-23 00:00:00",2222059,3035
"2023-04-22 00:00:00",2219024,13271
"2023-04-21 00:00:00",2205753,6153
"2023-04-20 00:00:00",2199600,6355
"2023-04-19 00:00:00",2193245,6064
"2023-04-18 00:00:00",2187181,0
"2023-04-17 00:00:00",2187181,11796
"2023-04-16 00:00:00",2175385,6903
"2023-04-15 00:00:00",2168482,6826
"2023-04-14 00:00:00",2161656,0
"2023-04-13 00:00:00",2161656,13513
"2023-04-12 00:00:00",2148143,6118
"2023-04-11 00:00:00",2142025,5338
"2023-04-10 00:00:00",2136687,6361
"2023-04-09 00:00:00",2130326,0
"2023-04-08 00:00:00",2130326,14154
"2023-04-07 00:00:00",2116172,6769
"2023-04-06 00:00:00",2109403,6792
"2023-04-05 00:00:00",2102611,6691
"2023-04-04 00:00:00",2095920,0
"2023-04-03 00:00:00",2095920,12821
"2023-04-02 00:00:00",2083099,7399
"2023-04-01 00:00:00",2075700,0
"2023-03-31 00:00:00",2075700,14782
"2023-03-30 00:00:00",2060918,7326
"2023-03-29 00:00:00",2053592,7078
"2023-03-28 00:00:00",2046514,6603
"2023-03-27 00:00:00",2039911,7159
"2023-03-26 00:00:00",2032752,8191
"2023-03-25 00:00:00",2024561,7672
"2023-03-24 00:00:00",2016889,7347
"2023-03-23 00:00:00",2009542,7616
"2023-03-22 00:00:00",2001926,7318
"2023-03-21 00:00:00",1994608,6531
"2023-03-20 00:00:00",1988077,0
"2023-03-19 00:00:00",1988077,15279
"2023-03-18 00:00:00",1972798,7217
"2023-03-17 00:00:00",1965581,7292
"2023-03-16 00:00:00",1958289,7143
"2023-03-15 00:00:00",1951146,7314
"2023-03-14 00:00:00",1943832,6505
"2023-03-13 00:00:00",1937327,7341
"2023-03-12 00:00:00",1929986,8208
"2023-03-11 00:00:00",1921778,8150
"2023-03-10 00:00:00",1913628,7978
"2023-03-09 00:00:00",1905650,7953
"2023-03-08 00:00:00",1897697,8079
"2023-03-07 00:00:00",1889618,7261
"2023-03-06 00:00:00",1882357,8267
"2023-03-05 00:00:00",1874090,0
"2023-03-04 00:00:00",1874090,18213
"2023-03-03 00:00:00",1855877,8953
"2023-03-02 00:00:00",1846924,8822
"2023-03-01 00:00:00",1838102,8780
"2023-02-28 00:00:00",1829322,8051
"2023-02-27 00:00:00",1821271,9035
"2023-02-26 00:00:00",1812236,9911
"2023-02-25 00:00:00",1802325,9513
"2023-02-24 00:00:00",1792812,9859
"2023-02-23 00:00:00",1782953,9981
"2023-02-22 00:00:00",1772972,8762
"2023-02-21 00:00:00",1764210,8544
"2023-02-20 00:00:00",1755666,9490
"2023-02-19 00:00:00",1746176,10634
"2023-02-18 00:00:00",1735542,9667
"2023-02-17 00:00:00",1725875,0
"2023-02-16 00:00:00",1725875,18866
"2023-02-15 00:00:00",1707009,9370
"2023-02-14 00:00:00",1697639,0
"2023-02-13 00:00:00",1697639,18680
"2023-02-12 00:00:00",1678959,11033
"2023-02-11 00:00:00",1667926,10931
"2023-02-10 00:00:00",1656995,10139
"2023-02-09 00:00:00",1646856,9493
"2023-02-08 00:00:00",1637363,9307
"2023-02-07 00:00:00",1628056,8075
"2023-02-06 00:00:00",1619981,8785
"2023-02-05 00:00:00",1611196,9212
"2023-02-04 00:00:00",1601984,9053
"2023-02-03 00:00:00",1592931,0
"2023-02-02 00:00:00",1592931,17819
"2023-02-01 00:00:00",1575112,8624
"2023-01-31 00:00:00",1566488,7778
"2023-01-30 00:00:00",1558710,9286
"2023-01-29 00:00:00",1549424,9822
"2023-01-28 00:00:00",1539602,9822
"2023-01-27 00:00:00",1529780,9750
"2023-01-26 00:00:00",1520030,0
"2023-01-25 00:00:00",1520030,18358
"2023-01-24 00:00:00",1501672,7915
"2023-01-23 00:00:00",1493757,9274
"2023-01-22 00:00:00",1484483,10309
"2023-01-21 00:00:00",1474174,10017
"2023-01-20 00:00:00",1464157,0
"2023-01-19 00:00:00",1464157,19842
"2023-01-18 00:00:00",1444315,9140
"2023-01-17 00:00:00",1435175,8407
"2023-01-16 00:00:00",1426768,9520
"2023-01-15 00:00:00",1417248,10821
"2023-01-14 00:00:00",1406427,10159
"2023-01-13 00:00:00",1396268,9956
"2023-01-12 00:00:00",1386312,11103
"2023-01-11 00:00:00",1375209,10847
"2023-01-10 00:00:00",1364362,9461
"2023-01-09 00:00:00",1354901,11175
"2023-01-08 00:00:00",1343726,11972
"2023-01-07 00:00:00",1331754,0
"2023-01-06 00:00:00",1331754,23473
"2023-01-05 00:00:00",1308281,11261
"2023-01-04 00:00:00",1297020,9968
"2023-01-03 00:00:00",1287052,10398
"2023-01-02 00:00:00",1276654,11663
"2023-01-01 00:00:00",1264991,11685
"2022-12-31 00:00:00",1253306,11869
"2022-12-30 00:00:00",1241437,11514
"2022-12-29 00:00:00",1229923,11073
"2022-12-28 00:00:00",1218850,9250
"2022-12-27 00:00:00",1209600,0
"2022-12-26 00:00:00",1209600,17494
"2022-12-25 00:00:00",1192106,11635
"2022-12-24 00:00:00",1180471,12100
"2022-12-23 00:00:00",1168371,12734
"2022-12-22 00:00:00",1155637,12590
"2022-12-21 00:00:00",1143047,12093
"2022-12-20 00:00:00",1130954,11353
"2022-12-19 00:00:00",1119601,13311
"2022-12-18 00:00:00",1106290,15238
"2022-12-17 00:00:00",1091052,15394
"2022-12-16 00:00:00",1075658,13620
"2022-12-15 00:00:00",1062038,14167
"2022-12-14 00:00:00",1047871,13166
"2022-12-13 00:00:00",1034705,11983
"2022-12-12 00:00:00",1022722,13872
"2022-12-11 00:00:00",1008850,15453
"2022-12-10 00:00:00",993397,14954
"2022-12-09 00:00:00",978443,13625
"2022-12-08 00:00:00",964818,13190
"2022-12-07 00:00:00",951628,13872
"2022-12-06 00:00:00",937756,13872
"2022-12-05 00:00:00",923883,13872
"2022-12-04 00:00:00",910011,13872
"2022-12-03 00:00:00",896139,13872
"2022-12-02 00:00:00",882267,13872
"2022-12-01 00:00:00",868394,13872
"2022-11-30 00:00:00",854522,14614
"2022-11-29 00:00:00",839908,13177
"2022-11-28 00:00:00",826731,15025
"2022-11-27 00:00:00",811706,16089
"2022-11-26 00:00:00",795617,15801
"2022-11-25 00:00:00",779816,18655
"2022-11-24 00:00:00",761161,18121
"2022-11-23 00:00:00",743040,17190
"2022-11-22 00:00:00",725850,14958
"2022-11-21 00:00:00",710892,18326
"2022-11-20 00:00:00",692566,20661
"2022-11-19 00:00:00",671905,19044
"2022-11-18 00:00:00",652861,19367
"2022-11-17 00:00:00",633494,19179
"2022-11-16 00:00:00",614315,18806
"2022-11-15 00:00:00",595509,16211
"2022-11-14 00:00:00",579298,19831
"2022-11-13 00:00:00",559467,23574
"2022-11-12 00:00:00",535893,23005
"2022-11-11 00:00:00",512888,23186
"2022-11-10 00:00:00",489702,24441
"2022-11-09 00:00:00",465261,27121
"2022-11-08 00:00:00",438140,0
"2022-11-07 00:00:00",438140,50129
"2022-11-06 00:00:00",388011,36018
"2022-11-05 00:00:00",351993,42360
"2022-11-04 00:00:00",309633,43050
"2022-11-03 00:00:00",266583,42647
"2022-11-02 00:00:00",223936,47484
"2022-11-01 00:00:00",176452,45094
"2022-10-31 00:00:00",131358,55210
"2022-10-30 00:00:00",76148,75123
"2022-10-29 00:00:00",1025,0
