"DateTime","Spotify Streams","Change"
"2023-05-15 00:00:00",2390728,4959
"2023-05-14 00:00:00",2385769,4959
"2023-05-13 00:00:00",2380810,12027
"2023-05-12 00:00:00",2368783,5620
"2023-05-11 00:00:00",2363163,0
"2023-05-10 00:00:00",2363163,10839
"2023-05-09 00:00:00",2352324,4459
"2023-05-08 00:00:00",2347865,4932
"2023-05-07 00:00:00",2342933,5929
"2023-05-06 00:00:00",2337004,5753
"2023-05-05 00:00:00",2331251,5338
"2023-05-04 00:00:00",2325913,5237
"2023-05-03 00:00:00",2320676,5038
"2023-05-02 00:00:00",2315638,5038
"2023-05-01 00:00:00",2310601,5038
"2023-04-30 00:00:00",2305563,5794
"2023-04-29 00:00:00",2299769,5859
"2023-04-28 00:00:00",2293910,2877
"2023-04-27 00:00:00",2291034,2877
"2023-04-26 00:00:00",2288157,7691
"2023-04-25 00:00:00",2280467,7691
"2023-04-24 00:00:00",2272776,2581
"2023-04-23 00:00:00",2270195,2581
"2023-04-22 00:00:00",2267614,12016
"2023-04-21 00:00:00",2255598,5613
"2023-04-20 00:00:00",2249985,5634
"2023-04-19 00:00:00",2244351,5600
"2023-04-18 00:00:00",2238751,0
"2023-04-17 00:00:00",2238751,10469
"2023-04-16 00:00:00",2228282,6345
"2023-04-15 00:00:00",2221937,5958
"2023-04-14 00:00:00",2215979,0
"2023-04-13 00:00:00",2215979,12195
"2023-04-12 00:00:00",2203784,5574
"2023-04-11 00:00:00",2198210,4785
"2023-04-10 00:00:00",2193425,5339
"2023-04-09 00:00:00",2188086,0
"2023-04-08 00:00:00",2188086,12469
"2023-04-07 00:00:00",2175617,6117
"2023-04-06 00:00:00",2169500,6091
"2023-04-05 00:00:00",2163409,5999
"2023-04-04 00:00:00",2157410,0
"2023-04-03 00:00:00",2157410,11127
"2023-04-02 00:00:00",2146283,6543
"2023-04-01 00:00:00",2139740,0
"2023-03-31 00:00:00",2139740,13004
"2023-03-30 00:00:00",2126736,6371
"2023-03-29 00:00:00",2120365,6130
"2023-03-28 00:00:00",2114235,5576
"2023-03-27 00:00:00",2108659,6122
"2023-03-26 00:00:00",2102537,7250
"2023-03-25 00:00:00",2095287,6906
"2023-03-24 00:00:00",2088381,6914
"2023-03-23 00:00:00",2081467,6913
"2023-03-22 00:00:00",2074554,6558
"2023-03-21 00:00:00",2067996,5886
"2023-03-20 00:00:00",2062110,0
"2023-03-19 00:00:00",2062110,13459
"2023-03-18 00:00:00",2048651,6763
"2023-03-17 00:00:00",2041888,6775
"2023-03-16 00:00:00",2035113,6620
"2023-03-15 00:00:00",2028493,6385
"2023-03-14 00:00:00",2022108,5914
"2023-03-13 00:00:00",2016194,6298
"2023-03-12 00:00:00",2009896,7261
"2023-03-11 00:00:00",2002635,7309
"2023-03-10 00:00:00",1995326,7125
"2023-03-09 00:00:00",1988201,7046
"2023-03-08 00:00:00",1981155,7108
"2023-03-07 00:00:00",1974047,6488
"2023-03-06 00:00:00",1967559,7450
"2023-03-05 00:00:00",1960109,0
"2023-03-04 00:00:00",1960109,16254
"2023-03-03 00:00:00",1943855,8261
"2023-03-02 00:00:00",1935594,8260
"2023-03-01 00:00:00",1927334,8239
"2023-02-28 00:00:00",1919095,7336
"2023-02-27 00:00:00",1911759,8199
"2023-02-26 00:00:00",1903560,9449
"2023-02-25 00:00:00",1894111,9066
"2023-02-24 00:00:00",1885045,9121
"2023-02-23 00:00:00",1875924,9366
"2023-02-22 00:00:00",1866558,8395
"2023-02-21 00:00:00",1858163,7690
"2023-02-20 00:00:00",1850473,8619
"2023-02-19 00:00:00",1841854,9916
"2023-02-18 00:00:00",1831938,9235
"2023-02-17 00:00:00",1822703,0
"2023-02-16 00:00:00",1822703,17915
"2023-02-15 00:00:00",1804788,8918
"2023-02-14 00:00:00",1795870,0
"2023-02-13 00:00:00",1795870,17057
"2023-02-12 00:00:00",1778813,10148
"2023-02-11 00:00:00",1768665,10143
"2023-02-10 00:00:00",1758522,9658
"2023-02-09 00:00:00",1748864,9088
"2023-02-08 00:00:00",1739776,9072
"2023-02-07 00:00:00",1730704,7624
"2023-02-06 00:00:00",1723080,8355
"2023-02-05 00:00:00",1714725,9106
"2023-02-04 00:00:00",1705619,8795
"2023-02-03 00:00:00",1696824,0
"2023-02-02 00:00:00",1696824,16990
"2023-02-01 00:00:00",1679834,8671
"2023-01-31 00:00:00",1671163,7441
"2023-01-30 00:00:00",1663722,8658
"2023-01-29 00:00:00",1655064,9364
"2023-01-28 00:00:00",1645701,9364
"2023-01-27 00:00:00",1636337,8604
"2023-01-26 00:00:00",1627733,0
"2023-01-25 00:00:00",1627733,17142
"2023-01-24 00:00:00",1610591,7215
"2023-01-23 00:00:00",1603376,8358
"2023-01-22 00:00:00",1595018,9394
"2023-01-21 00:00:00",1585624,9752
"2023-01-20 00:00:00",1575872,0
"2023-01-19 00:00:00",1575872,19115
"2023-01-18 00:00:00",1556757,8742
"2023-01-17 00:00:00",1548015,8138
"2023-01-16 00:00:00",1539877,8741
"2023-01-15 00:00:00",1531136,10061
"2023-01-14 00:00:00",1521075,10017
"2023-01-13 00:00:00",1511058,9690
"2023-01-12 00:00:00",1501368,9366
"2023-01-11 00:00:00",1492002,9107
"2023-01-10 00:00:00",1482895,7601
"2023-01-09 00:00:00",1475294,8791
"2023-01-08 00:00:00",1466503,9433
"2023-01-07 00:00:00",1457070,0
"2023-01-06 00:00:00",1457070,19051
"2023-01-05 00:00:00",1438019,8968
"2023-01-04 00:00:00",1429051,8360
"2023-01-03 00:00:00",1420691,8032
"2023-01-02 00:00:00",1412659,9073
"2023-01-01 00:00:00",1403586,9196
"2022-12-31 00:00:00",1394390,9430
"2022-12-30 00:00:00",1384960,9183
"2022-12-29 00:00:00",1375777,8983
"2022-12-28 00:00:00",1366794,7958
"2022-12-27 00:00:00",1358836,0
"2022-12-26 00:00:00",1358836,14870
"2022-12-25 00:00:00",1343966,9482
"2022-12-24 00:00:00",1334484,10377
"2022-12-23 00:00:00",1324107,10956
"2022-12-22 00:00:00",1313151,10633
"2022-12-21 00:00:00",1302518,10686
"2022-12-20 00:00:00",1291832,9360
"2022-12-19 00:00:00",1282472,11320
"2022-12-18 00:00:00",1271152,12912
"2022-12-17 00:00:00",1258240,12784
"2022-12-16 00:00:00",1245456,12688
"2022-12-15 00:00:00",1232768,12173
"2022-12-14 00:00:00",1220595,11206
"2022-12-13 00:00:00",1209389,10380
"2022-12-12 00:00:00",1199009,11440
"2022-12-11 00:00:00",1187569,12571
"2022-12-10 00:00:00",1174998,13391
"2022-12-09 00:00:00",1161607,12694
"2022-12-08 00:00:00",1148913,12617
"2022-12-07 00:00:00",1136296,14130
"2022-12-06 00:00:00",1122166,14130
"2022-12-05 00:00:00",1108035,14130
"2022-12-04 00:00:00",1093905,14130
"2022-12-03 00:00:00",1079774,14130
"2022-12-02 00:00:00",1065644,14130
"2022-12-01 00:00:00",1051513,14130
"2022-11-30 00:00:00",1037383,15197
"2022-11-29 00:00:00",1022186,13421
"2022-11-28 00:00:00",1008765,15202
"2022-11-27 00:00:00",993563,16521
"2022-11-26 00:00:00",977042,16288
"2022-11-25 00:00:00",960754,19842
"2022-11-24 00:00:00",940912,20277
"2022-11-23 00:00:00",920635,18933
"2022-11-22 00:00:00",901702,16502
"2022-11-21 00:00:00",885200,19283
"2022-11-20 00:00:00",865917,22413
"2022-11-19 00:00:00",843504,22056
"2022-11-18 00:00:00",821448,22676
"2022-11-17 00:00:00",798772,22640
"2022-11-16 00:00:00",776132,22859
"2022-11-15 00:00:00",753273,20508
"2022-11-14 00:00:00",732765,24801
"2022-11-13 00:00:00",707964,30454
"2022-11-12 00:00:00",677510,29659
"2022-11-11 00:00:00",647851,29746
"2022-11-10 00:00:00",618105,31311
"2022-11-09 00:00:00",586794,34391
"2022-11-08 00:00:00",552403,0
"2022-11-07 00:00:00",552403,61753
"2022-11-06 00:00:00",490650,44478
"2022-11-05 00:00:00",446172,53871
"2022-11-04 00:00:00",392301,54866
"2022-11-03 00:00:00",337435,54876
"2022-11-02 00:00:00",282559,58657
"2022-11-01 00:00:00",223902,56877
"2022-10-31 00:00:00",167025,67330
"2022-10-30 00:00:00",99695,98168
"2022-10-29 00:00:00",1527,0
