Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Oct 28, 2022",3,"6,401",,
"Oct 29, 2022",190,"49,288",,
"Oct 30, 2022",240,"53,374",,
"Oct 31, 2022",272,"145,232",,
"Nov 01, 2022",299,"143,369",,
"Nov 02, 2022",316,"142,440",,
"Nov 03, 2022",330,"143,167",,
"Nov 04, 2022",351,"137,365",,
"Nov 05, 2022",355,"138,214",,
"Nov 06, 2022",364,"138,437",,
"Nov 07, 2022",370,"138,515",,
"Nov 08, 2022",372,"138,632",,
"Nov 09, 2022",375,"139,454",,
"Nov 10, 2022",379,"139,527",,
"Nov 11, 2022",381,"139,650",,
"Nov 12, 2022",384,"139,781",,
"Nov 13, 2022",383,"139,583",,
"Nov 14, 2022",387,"139,650",,
"Nov 15, 2022",389,"139,722",,
"Nov 16, 2022",385,"48,526",,
"Nov 17, 2022",383,"48,579",,
"Nov 18, 2022",369,"46,937",,
"Nov 19, 2022",369,"46,932",,
"Nov 20, 2022",369,"46,883",,
"Nov 21, 2022",377,"47,073",,
"Nov 22, 2022",381,"47,126",,
"Nov 23, 2022",378,"46,949",,
"Nov 24, 2022",382,"47,021",,
"Nov 25, 2022",385,"47,097",,
"Nov 26, 2022",385,"47,096",,
"Nov 27, 2022",386,"47,504",,
"Nov 28, 2022",387,"47,546",,
"Nov 29, 2022",391,"47,577",,
"Nov 30, 2022",391,"47,575",,
"Dec 01, 2022",396,"47,605",,
"Dec 02, 2022",399,"47,623",,
"Dec 03, 2022",398,"47,405",,
"Dec 04, 2022",398,"47,354",,
"Dec 05, 2022",397,"47,282",,
"Dec 06, 2022",397,"47,312",,
"Dec 07, 2022",398,"47,287",,
"Dec 08, 2022",399,"47,420",,
"Dec 09, 2022",393,"47,408",,
"Dec 10, 2022",395,"48,799",,
"Dec 11, 2022",399,"51,628",,
"Dec 12, 2022",411,"51,756",,
"Dec 13, 2022",412,"51,524",,
"Dec 14, 2022",416,"50,508",,
"Dec 15, 2022",417,"50,561",,
"Dec 16, 2022",424,"51,811",,
"Dec 17, 2022",426,"51,551",,
"Dec 18, 2022",431,"52,001",,
"Dec 19, 2022",439,"52,591",,
"Dec 20, 2022",438,"54,032",,
"Dec 21, 2022",439,"54,273",,
"Dec 22, 2022",441,"54,896",,
"Dec 23, 2022",438,"52,520",,
"Dec 24, 2022",431,"52,473",,
"Dec 25, 2022",425,"54,406",,
"Dec 26, 2022",417,"54,806",,
"Dec 27, 2022",411,"54,643",,
"Dec 28, 2022",399,"54,379",,
"Dec 29, 2022",389,"51,010",,
"Dec 30, 2022",383,"52,913",,
"Dec 31, 2022",384,"53,931",,
"Jan 01, 2023",379,"53,857",,
"Jan 02, 2023",376,"51,986",,
"Jan 03, 2023",371,"52,228",,
"Jan 04, 2023",362,"51,026",,
"Jan 05, 2023",350,"50,974",,
"Jan 06, 2023",343,"50,636",,
"Jan 07, 2023",343,"50,636",,
"Jan 08, 2023",343,"50,646",,
"Jan 09, 2023",344,"50,836",,
"Jan 10, 2023",345,"51,244",,
"Jan 11, 2023",351,"53,691",,
"Jan 12, 2023",353,"53,940",,
"Jan 13, 2023",356,"54,090",,
"Jan 14, 2023",356,"54,119",,
"Jan 15, 2023",359,"55,248",,
"Jan 16, 2023",570,"57,590",,
"Jan 17, 2023",571,"57,647",,
"Jan 18, 2023",571,"57,684",,
"Jan 19, 2023",573,"57,757",,
"Jan 20, 2023",572,"57,808",,
"Jan 21, 2023",572,"57,885",,
"Jan 22, 2023",572,"57,609",,
"Jan 23, 2023",571,"57,702",,
"Jan 24, 2023",570,"57,731",,
"Jan 25, 2023",569,"57,778",,
"Jan 26, 2023",569,"57,840",,
"Jan 27, 2023",570,"57,918",,
"Jan 28, 2023",571,"57,946",,
"Jan 29, 2023",573,"58,626",,
"Jan 30, 2023",575,"58,672",,
"Jan 31, 2023",578,"58,776",,
"Feb 01, 2023",579,"58,860",,
"Feb 02, 2023",580,"58,853",,
"Feb 03, 2023",580,"58,815",,
"Feb 04, 2023",578,"59,544",,
"Feb 05, 2023",581,"59,561",,
"Feb 06, 2023",579,"59,592",,
"Feb 07, 2023",579,"59,657",,
"Feb 08, 2023",580,"59,734",,
"Feb 09, 2023",583,"59,819",,
"Feb 10, 2023",584,"59,991",,
"Feb 11, 2023",584,"60,048",,
"Feb 12, 2023",584,"60,150",,
"Feb 13, 2023",586,"60,259",,
"Feb 14, 2023",586,"60,324",,
"Feb 15, 2023",586,"60,356",,
"Feb 16, 2023",585,"60,424",,
"Feb 17, 2023",585,"60,425",,
"Feb 18, 2023",586,"60,452",,
"Feb 19, 2023",586,"60,480",,
"Feb 20, 2023",588,"60,505",,
"Feb 21, 2023",589,"60,536",,
"Feb 22, 2023",590,"60,558",,
"Feb 23, 2023",591,"60,573",,
"Feb 24, 2023",591,"60,604",,
"Feb 25, 2023",590,"60,627",,
"Feb 26, 2023",590,"60,664",,
"Feb 27, 2023",590,"60,685",,
"Mar 01, 2023",587,"60,715",,
"Mar 02, 2023",591,"60,744",,
"Mar 03, 2023",592,"60,757",,
"Mar 04, 2023",593,"60,766",,
"Mar 05, 2023",595,"60,813",,
"Mar 06, 2023",594,"60,828",,
"Mar 07, 2023",593,"60,842",,
"Mar 08, 2023",594,"60,847",,
"Mar 09, 2023",594,"60,870",,
"Mar 10, 2023",597,"60,892",,
"Mar 11, 2023",598,"60,911",,
"Mar 12, 2023",600,"60,943",,
"Mar 13, 2023",603,"60,969",,
"Mar 14, 2023",606,"60,990",,
"Mar 15, 2023",605,"61,007",,
"Mar 16, 2023",605,"61,010",,
"Mar 17, 2023",605,"61,019",,
"Mar 18, 2023",609,"61,052",,
"Mar 19, 2023",610,"61,081",,
"Mar 20, 2023",611,"61,098",,
"Mar 21, 2023",614,"61,125",,
"Mar 22, 2023",616,"61,551",,
"Mar 23, 2023",617,"61,846",,
"Mar 24, 2023",618,"61,905",,
"Mar 25, 2023",621,"61,963",,
"Mar 26, 2023",623,"62,001",,
"Mar 27, 2023",623,"62,038",,
"Mar 28, 2023",626,"62,171",,
"Mar 29, 2023",628,"62,205",,
"Mar 30, 2023",632,"62,224",,
"Mar 31, 2023",636,"62,353",,
"Apr 01, 2023",636,"62,358",,
"Apr 02, 2023",636,"62,408",,
"Apr 03, 2023",636,"62,451",,
"Apr 04, 2023",638,"62,516",,
"Apr 05, 2023",640,"62,583",,
"Apr 06, 2023",646,"62,649",,
"Apr 07, 2023",647,"62,621",,
"Apr 08, 2023",647,"62,630",,
"Apr 09, 2023",648,"62,677",,
"Apr 10, 2023",651,"62,738",,
"Apr 11, 2023",651,"62,766",,
"Apr 12, 2023",653,"62,814",,
"Apr 13, 2023",653,"62,854",,
"Apr 14, 2023",654,"62,905",,
"Apr 15, 2023",655,"62,935",,
"Apr 16, 2023",656,"62,966",,
"Apr 17, 2023",656,"62,716",,
"Apr 18, 2023",659,"62,736",,
"Apr 19, 2023",659,"62,773",,
