Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 22, 2023",1,"1,342",,
"Apr 23, 2023",1,"1,341",,
"Apr 24, 2023",3,"1,378",,
"Apr 25, 2023",4,"1,382",,
"Apr 26, 2023",4,"1,382",,
"Apr 27, 2023",4,"1,383",,
"Apr 28, 2023",5,"1,418",,
"Apr 29, 2023",4,69,,
"Apr 30, 2023",4,69,,
"May 01, 2023",4,69,,
"May 02, 2023",4,69,,
"May 03, 2023",4,69,,
"May 04, 2023",4,69,,
"May 05, 2023",4,43,,
"May 06, 2023",5,44,,
"May 07, 2023",5,44,,
"May 08, 2023",6,54,,
"May 09, 2023",7,61,,
"May 10, 2023",7,61,,
"May 11, 2023",7,61,,
"May 12, 2023",7,61,,
"May 13, 2023",8,66,,
"May 14, 2023",9,110,,
"May 15, 2023",12,134,,
"May 16, 2023",13,144,,
"May 17, 2023",14,148,,
"May 18, 2023",14,148,,
"May 19, 2023",14,148,,
"May 20, 2023",14,148,,
"May 21, 2023",14,148,,
"May 22, 2023",14,148,,
"May 23, 2023",15,151,,
"May 24, 2023",15,151,,
"May 25, 2023",15,151,,
"May 26, 2023",15,151,,
"May 27, 2023",15,151,,
"May 28, 2023",15,151,,
"May 29, 2023",15,151,,
Invalid date,,,,
