"DateTime","Spotify Streams","Change"
"2023-05-28 00:00:00",392452,5963
"2023-05-27 00:00:00",386489,3502
"2023-05-26 00:00:00",382987,1781
"2023-05-25 00:00:00",381206,1781
"2023-05-24 00:00:00",379425,7210
"2023-05-23 00:00:00",372215,3398
"2023-05-22 00:00:00",368817,3398
"2023-05-21 00:00:00",365419,4418
"2023-05-20 00:00:00",361001,4879
"2023-05-19 00:00:00",356122,5175
"2023-05-18 00:00:00",350947,5236
"2023-05-17 00:00:00",345711,4868
"2023-05-16 00:00:00",340843,4868
"2023-05-15 00:00:00",335975,4970
"2023-05-14 00:00:00",331005,5833
"2023-05-13 00:00:00",325172,6056
"2023-05-12 00:00:00",319116,6919
"2023-05-11 00:00:00",312197,6919
"2023-05-10 00:00:00",305278,6873
"2023-05-09 00:00:00",298405,5750
"2023-05-08 00:00:00",292655,6396
"2023-05-07 00:00:00",286259,7821
"2023-05-06 00:00:00",278438,8900
"2023-05-05 00:00:00",269538,9160
"2023-05-04 00:00:00",260378,10046
"2023-05-03 00:00:00",250332,10251
"2023-05-02 00:00:00",240081,8867
"2023-05-01 00:00:00",231214,10676
"2023-04-30 00:00:00",220538,15709
"2023-04-29 00:00:00",204829,19475
"2023-04-28 00:00:00",185354,17195
"2023-04-27 00:00:00",168159,0
"2023-04-26 00:00:00",168159,20204
"2023-04-25 00:00:00",147955,25602
"2023-04-24 00:00:00",122353,60028
"2023-04-23 00:00:00",62326,60028
"2023-04-22 00:00:00",2298,0
