Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 22, 2023",1,"1,342",,
"Apr 23, 2023",1,"1,341",,
"Apr 24, 2023",1,"1,344",,
"Apr 25, 2023",2,"1,348",,
"Apr 26, 2023",2,"1,348",,
"Apr 27, 2023",2,"1,349",,
"Apr 28, 2023",3,"1,384",,
"Apr 29, 2023",4,54,,
"Apr 30, 2023",6,578,,
"May 01, 2023",7,580,,
"May 02, 2023",8,585,,
"May 03, 2023",8,585,,
"May 04, 2023",9,585,,
"May 05, 2023",9,559,,
"May 06, 2023",10,558,,
"May 07, 2023",11,558,,
"May 08, 2023",12,565,,
"May 09, 2023",12,565,,
"May 10, 2023",15,957,,
"May 11, 2023",16,"1,129",,
"May 12, 2023",19,"1,137",,
"May 13, 2023",21,"1,146",,
"May 14, 2023",24,"1,234",,
"May 15, 2023",28,"1,250",,
"May 16, 2023",31,"1,257",,
"May 17, 2023",33,"1,271",,
"May 18, 2023",35,"1,278",,
"May 19, 2023",36,"1,284",,
"May 20, 2023",38,"1,294",,
"May 21, 2023",43,"1,325",,
"May 22, 2023",44,"1,333",,
"May 23, 2023",49,"1,353",,
"May 24, 2023",49,"1,360",,
"May 25, 2023",49,"1,359",,
"May 26, 2023",51,"1,372",,
"May 27, 2023",54,"1,384",,
"May 28, 2023",56,"1,403",,
"May 29, 2023",57,"1,404",,
Invalid date,,,,
