Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 22, 2023",1,"1,342",,
"Apr 23, 2023",1,"1,341",,
"Apr 24, 2023",2,"1,374",,
"Apr 25, 2023",3,"1,378",,
"Apr 26, 2023",4,"1,385",,
"Apr 27, 2023",4,"1,386",,
"Apr 28, 2023",5,"1,421",,
"Apr 29, 2023",5,77,,
"Apr 30, 2023",7,98,,
"May 01, 2023",9,100,,
"May 02, 2023",9,100,,
"May 03, 2023",10,104,,
"May 04, 2023",10,104,,
"May 05, 2023",9,70,,
"May 06, 2023",9,70,,
"May 07, 2023",10,70,,
"May 08, 2023",11,80,,
"May 09, 2023",12,87,,
"May 10, 2023",14,455,,
"May 11, 2023",14,455,,
"May 12, 2023",14,455,,
"May 13, 2023",17,474,,
"May 14, 2023",20,539,,
"May 15, 2023",22,557,,
"May 16, 2023",22,557,,
"May 17, 2023",23,561,,
"May 18, 2023",23,561,,
"May 19, 2023",24,563,,
"May 20, 2023",25,566,,
"May 21, 2023",27,569,,
"May 22, 2023",28,571,,
"May 23, 2023",28,571,,
"May 24, 2023",29,571,,
"May 25, 2023",29,571,,
"May 26, 2023",29,571,,
"May 27, 2023",29,571,,
"May 28, 2023",29,571,,
"May 29, 2023",29,571,,
Invalid date,,,,
