"DateTime","Spotify Streams","Change"
"2023-05-28 00:00:00",392401,6538
"2023-05-27 00:00:00",385863,3735
"2023-05-26 00:00:00",382128,2055
"2023-05-25 00:00:00",380073,2055
"2023-05-24 00:00:00",378018,8544
"2023-05-23 00:00:00",369474,3861
"2023-05-22 00:00:00",365614,3861
"2023-05-21 00:00:00",361753,5307
"2023-05-20 00:00:00",356446,5385
"2023-05-19 00:00:00",351061,5652
"2023-05-18 00:00:00",345409,6064
"2023-05-17 00:00:00",339345,5642
"2023-05-16 00:00:00",333704,5642
"2023-05-15 00:00:00",328062,5806
"2023-05-14 00:00:00",322256,7154
"2023-05-13 00:00:00",315102,6868
"2023-05-12 00:00:00",308234,7204
"2023-05-11 00:00:00",301031,7204
"2023-05-10 00:00:00",293827,7080
"2023-05-09 00:00:00",286747,6032
"2023-05-08 00:00:00",280715,6567
"2023-05-07 00:00:00",274148,7778
"2023-05-06 00:00:00",266370,9168
"2023-05-05 00:00:00",257202,9554
"2023-05-04 00:00:00",247648,10167
"2023-05-03 00:00:00",237481,9721
"2023-05-02 00:00:00",227760,9354
"2023-05-01 00:00:00",218406,11040
"2023-04-30 00:00:00",207366,15581
"2023-04-29 00:00:00",191785,18598
"2023-04-28 00:00:00",173187,17264
"2023-04-27 00:00:00",155923,0
"2023-04-26 00:00:00",155923,20606
"2023-04-25 00:00:00",135317,25830
"2023-04-24 00:00:00",109487,53820
"2023-04-23 00:00:00",55668,53820
"2023-04-22 00:00:00",1848,0
