Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 22, 2023",1,"1,342",,
"Apr 23, 2023",1,"1,341",,
"Apr 24, 2023",1,"1,344",,
"Apr 25, 2023",2,"1,348",,
"Apr 26, 2023",2,"1,348",,
"Apr 27, 2023",2,"1,349",,
"Apr 28, 2023",4,"1,388",,
"Apr 29, 2023",3,39,,
"Apr 30, 2023",3,39,,
"May 01, 2023",3,39,,
"May 02, 2023",3,39,,
"May 03, 2023",4,48,,
"May 04, 2023",4,48,,
"May 05, 2023",4,19,,
"May 06, 2023",4,19,,
"May 07, 2023",5,32,,
"May 08, 2023",6,42,,
"May 09, 2023",7,49,,
"May 10, 2023",8,417,,
"May 11, 2023",10,597,,
"May 12, 2023",11,833,,
"May 13, 2023",13,917,,
"May 14, 2023",16,999,,
"May 15, 2023",17,"1,004",,
"May 16, 2023",19,"1,019",,
"May 17, 2023",20,"1,023",,
"May 18, 2023",21,"1,025",,
"May 19, 2023",21,"1,025",,
"May 20, 2023",22,"1,028",,
"May 21, 2023",22,"1,028",,
"May 22, 2023",22,"1,028",,
"May 23, 2023",22,"1,028",,
"May 24, 2023",23,"1,029",,
"May 25, 2023",23,"1,029",,
"May 26, 2023",23,"1,029",,
"May 27, 2023",23,"1,030",,
"May 28, 2023",23,"1,030",,
"May 29, 2023",23,"1,030",,
Invalid date,,,,
