Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 22, 2023",1,"1,342",,
"Apr 23, 2023",1,"1,341",,
"Apr 24, 2023",2,"1,374",,
"Apr 25, 2023",4,"1,803",,
"Apr 26, 2023",4,"1,803",,
"Apr 27, 2023",4,"1,804",,
"Apr 28, 2023",5,"1,839",,
"Apr 29, 2023",4,489,,
"Apr 30, 2023",4,489,,
"May 01, 2023",4,488,,
"May 02, 2023",4,488,,
"May 03, 2023",4,488,,
"May 04, 2023",4,488,,
"May 05, 2023",3,452,,
"May 06, 2023",3,452,,
"May 07, 2023",3,452,,
"May 08, 2023",4,462,,
"May 09, 2023",4,462,,
"May 10, 2023",4,462,,
"May 11, 2023",4,462,,
"May 12, 2023",4,462,,
"May 13, 2023",5,466,,
"May 14, 2023",6,510,,
"May 15, 2023",7,515,,
"May 16, 2023",7,515,,
"May 17, 2023",7,515,,
"May 18, 2023",7,515,,
"May 19, 2023",7,515,,
"May 20, 2023",8,520,,
"May 21, 2023",8,520,,
"May 22, 2023",8,520,,
"May 23, 2023",8,520,,
"May 24, 2023",8,520,,
"May 25, 2023",8,520,,
"May 26, 2023",8,520,,
"May 27, 2023",8,520,,
"May 28, 2023",8,520,,
"May 29, 2023",8,519,,
Invalid date,,,,
