Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Apr 22, 2023",1,"1,342",,
"Apr 23, 2023",1,"1,341",,
"Apr 24, 2023",1,"1,344",,
"Apr 25, 2023",2,"1,348",,
"Apr 26, 2023",2,"1,348",,
"Apr 27, 2023",2,"1,349",,
"Apr 28, 2023",3,"1,384",,
"Apr 29, 2023",2,35,,
"Apr 30, 2023",2,35,,
"May 01, 2023",2,35,,
"May 02, 2023",2,35,,
"May 03, 2023",3,39,,
"May 04, 2023",3,39,,
"May 05, 2023",3,14,,
"May 06, 2023",3,14,,
"May 07, 2023",3,14,,
"May 08, 2023",5,24,,
"May 09, 2023",8,56,,
"May 10, 2023",8,56,,
"May 11, 2023",9,228,,
"May 12, 2023",10,464,,
"May 13, 2023",12,471,,
"May 14, 2023",16,580,,
"May 15, 2023",19,593,,
"May 16, 2023",20,597,,
"May 17, 2023",21,601,,
"May 18, 2023",21,601,,
"May 19, 2023",22,603,,
"May 20, 2023",23,608,,
"May 21, 2023",23,608,,
"May 22, 2023",23,608,,
"May 23, 2023",24,611,,
"May 24, 2023",24,611,,
"May 25, 2023",25,612,,
"May 26, 2023",25,612,,
"May 27, 2023",26,613,,
"May 28, 2023",27,624,,
"May 29, 2023",27,626,,
Invalid date,,,,
